sid,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,图片url,经纬度
710603,故宫,166,96.0,世界五大宫之首，是中国明清两代的皇家宫殿。,1.0,116.403414,39.924091,31850,0.52,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/8441a219c051913d1aae63e7bbc1c8bb.jpg_r_480x360x95_96a61045.jpg,[116.403414  39.924091]
715545,清凉谷风景区,1,82.0,在茂密树木和溪流瀑布间登山漫步，夏日体验众多的水上娱乐项目。,13.0,116.760481,40.639741,197,0.0,https://img1.qunarzz.com/travel/d3/1510/e5/eb805a38a5d1f6.jpg_r_480x360x95_072bf910.jpg,[116.760481  40.639741]
7469087,古北水镇,33,92.0,京郊少见的北方水镇，建筑古韵十足，泡温泉、登长城。,1.0,117.284632,40.661046,3474,0.01,https://img1.qunarzz.com/travel/d5/1612/e5/3b9c55d7d1953b5.jpg_r_480x360x95_a4e04438.jpg,[117.284632  40.661046]
714049,玉渡山景区,4,92.0,北京地区一块鲜为人知的胜景，现代人回归大自然最好的选择。,8.0,115.895804,40.55826,431,0.0,https://img1.qunarzz.com/travel/d3/1511/ff/ddfd7fc4cd9debf7.jpg_r_480x360x95_5163c1ec.jpg,[115.895804  40.55826 ]
713180,北京平谷金海湖,9,88.0,夏季参加丰富多彩的水上项目，秋天乘船欣赏沿岸漫山遍野的红叶。,190.0,117.310896,40.187348,341,0.0,https://flight-feed.qunarzz.com/as3/407/image/2022/4/c5b37c00-7300-4f7f-904e-dddc26dc56f9.webp_480x360_15d0de5a.webp_480x360_4644a588.webp,[117.310896  40.187348]
703478,八达岭长城,40,94.0,“不到长城非好汉”，这里是长城的精华部分。,1.0,116.024067,40.362639,13872,0.38,https://img1.qunarzz.com/travel/d1/1409/30/e45d423d75798532ffffffffc8d65eac.jpg_r_480x360x95_a3e7cdc7.jpg,[116.024067  40.362639]
711995,天安门广场,70,96.0,伟大祖国的标志，早起看一场庄严肃穆的升旗仪式，瞻仰人民英雄纪念碑。,3.0,116.404091,39.910095,8285,0.5,https://img1.qunarzz.com/travel/d6/1611/4a/1e5ed390b30ed1b5.jpg_r_480x360x95_556e77c2.jpg,[116.404091  39.910095]
710431,颐和园,115,94.0,被誉为“皇家园林博物馆”，参观园林，泛舟昆明湖。,4.0,116.278749,40.004869,15173,0.43,https://img1.qunarzz.com/travel/d4/1808/52/27efe536521f9cb5.jpg_r_480x360x95_017eadc2.jpg,[116.278749  40.004869]
9475701,房山白草畔自然风景区,1,90.0,观看长满野花的高山草甸，茂盛松林，还有山间云海。,30.0,115.6209,39.790098,31,0.0,https://img1.qunarzz.com/travel/d4/1705/e6/4e95ad7a86fe2db5.jpg_r_480x360x95_0195bf82.jpg,[115.6209    39.790098]
7473474,百里山水画廊,2,90.0,北京自驾游的首选之地，四季景色变幻，沿途风光如画。,3387.0,116.257788,40.666026,185,0.0,https://img1.qunarzz.com/travel/d3/1509/99/afd22d6b9f9bbb.jpg_r_480x360x95_405c3500.jpg,[116.257788  40.666026]
