sid,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,图片url,price
710603,故宫The Palace Museum,166,96.0,世界五大宫之首，是中国明清两代的皇家宫殿。,1.0,116.403414,39.924091,31351,0.52,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/8441a219c051913d1aae63e7bbc1c8bb.jpg_r_480x360x95_96a61045.jpg,¥115
715545,清凉谷风景区Qingliang Valley Scenic Area,1,82.0,在茂密树木和溪流瀑布间登山漫步，夏日体验众多的水上娱乐项目。,13.0,116.760481,40.639741,197,0.0,https://img1.qunarzz.com/travel/d3/1510/e5/eb805a38a5d1f6.jpg_r_480x360x95_072bf910.jpg,¥5
7469087,古北水镇Gubei Water Town,33,92.0,京郊少见的北方水镇，建筑古韵十足，泡温泉、登长城。,1.0,117.284632,40.661046,3454,0.01,https://img1.qunarzz.com/travel/d5/1612/e5/3b9c55d7d1953b5.jpg_r_480x360x95_a4e04438.jpg,¥140
703478,八达岭长城Badaling Great Wall,40,94.0,“不到长城非好汉”，这里是长城的精华部分。,1.0,116.024067,40.362639,13644,0.38,https://img1.qunarzz.com/travel/d1/1409/30/e45d423d75798532ffffffffc8d65eac.jpg_r_480x360x95_a3e7cdc7.jpg,¥34.9
711995,天安门广场Tiananmen Square,70,96.0,伟大祖国的标志，早起看一场庄严肃穆的升旗仪式，瞻仰人民英雄纪念碑。,3.0,116.404091,39.910095,7573,0.5,https://img1.qunarzz.com/travel/d6/1611/4a/1e5ed390b30ed1b5.jpg_r_480x360x95_556e77c2.jpg,¥48
715478,恭王府Prince Gong's Mansion,43,92.0,曾经和珅的宅邸，也是如今保存完整的王府。,5.0,116.392599,39.943381,3316,0.28,https://img1.qunarzz.com/travel/d8/1507/5f/99a94d683a1acf.jpg_r_480x360x95_456350c8.jpg,¥40
710501,中国国家博物馆National Museum of China,26,96.0,超大的博物馆，四羊方尊、司母戊鼎等众多国宝所在地。,7.0,116.408018,39.911449,1440,0.15,https://img1.qunarzz.com/travel/d5/1507/9e/fd875e83dd85b7.jpg_r_480x360x95_7c5256a9.jpg,¥98
712812,龙庆峡Longqing Gorge,4,90.0,京郊夏季休闲避暑的胜地，每年冬季的冰灯展也非常壮观。,2.0,116.009343,40.557851,723,0.0,https://img1.qunarzz.com/travel/d3/1501/2a/9ad22618b18c41.jpg_r_480x360x95_356f49bf.jpg,¥70
722949,南锣鼓巷Nanluoguxiang,107,88.0,老北京胡同与小资情调结合，文艺青年的必逛之地。,2.0,116.4095,39.943166,4062,0.4,https://img1.qunarzz.com/travel/d8/1708/1a/06551ff87ed6a5b5.jpg_r_480x360x95_04c4b733.jpg,¥0.2
708913,双龙峡Shuanglong Gorge,3,90.0,春季千亩杏花盛开，香味扑鼻，如同到了花的海洋。,1.0,115.720747,39.959169,151,0.0,https://img1.qunarzz.com/travel/poi/1803/ef/a6374f235a6e5537.jpg_r_480x360x95_30420ce3.jpg,¥5
708106,石林峡ShilinGorge,4,90.0,京郊罕见的石林峡谷，可以观看陡峭奇幻的地貌风光。,1.0,117.24851,40.268794,680,0.0,https://img1.qunarzz.com/travel/d3/1610/5f/9740f2c72c0db4b5.jpg_r_480x360x95_da1da931.jpg,¥68
712359,爨底下村Cuandixia,9,88.0,参观古色古香的明清老建筑，在古村漫步、睡火炕、吃农家菜。,98.0,115.652612,40.001593,234,0.0,https://img1.qunarzz.com/travel/d1/1510/94/8e12f040ce46d7.jpg_r_480x360x95_c20799b4.jpg,¥5
714358,北京野生动物园Beijing Wildlife Park,5,94.0,开放式的动物园，坐在铁笼车里近距离给动物喂食，趣味十足。,45.0,116.340954,39.502139,2828,0.0,https://img1.qunarzz.com/travel/d4/1511/63/7e20c6447b3149f7.jpg_r_480x360x95_8b5fc004.jpg,¥145
713871,前门大街Qianmen Street,31,90.0,京味十足的商业老街，各类小吃让人大快朵颐！,13.0,116.40452,39.899651,2980,0.29,https://img1.qunarzz.com/travel/d9/1508/f8/5be372f0d9022d.jpg_r_480x360x95_4f6a95a5.jpg,¥120
704630,圆明园Old Summer Palace,62,94.0,古老中国最深的一道伤疤，通过断壁残垣寻找当年帝国的辉煌掠影。,8.0,116.309736,40.016191,5234,0.32,https://img1.qunarzz.com/travel/d7/1702/81/1600930097a2a2b5.jpg_r_480x360x95_d3f25438.jpg,¥10
705983,什刹海Shichahai,57,92.0,历史街区簇拥的优雅湖泊，环境优美，也是北京夜生活的核心地带。,12.0,116.391243,39.948373,3673,0.29,https://img1.qunarzz.com/travel/d1/1505/2b/cb8644b593c8e9.jpg_r_480x360x95_86c6a393.jpg,¥10
712028,北京喇叭沟原始森林公园Labagoumen National Forest Park,2,88.0,北京保存最好的原始森林，春天看杜鹃花，秋天赏红叶。,188.0,116.495711,40.965737,319,0.0,https://img1.qunarzz.com/travel/d0/1611/e2/ac139d8ff5c145b5.jpg_r_480x360x95_1bb422e9.jpg,¥7
