sid,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,图片url,price
704547,青城山Qingcheng Mountain,26,92.0,“青城天下幽”，这里是道教的发源地，山间有多处道观可探寻。,1.0,103.569195,30.911742,8289,0.17,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/e8a9fc8d53e56bd441dc94edf08e152c.jpg_r_480x360x95_3d822b16.jpg,¥80
711578,成都大熊猫繁育研究基地Chengdu Research Base of Giant Panda Breeding,374,92.0,成都周边观赏大熊猫最便利的地方，很多萌萌的大熊猫等着你哦。,1.0,104.150921,30.743322,14012,0.38,https://img1.qunarzz.com/travel/d6/1610/cc/0c2975ba1cd06db5.jpg_r_480x360x95_dffb92ee.jpg,¥55
9476166,赵公山Zhaogong Mountain,1,86.0,传说中财神赵公明归隐处，也是户外爱好者的理想登山之地。,21.0,103.554995,30.961146,74,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/63b296839fb6da1b9db24813eb53784b.jpg_r_480x360x95_b7f72cc8.jpg,¥100
704544,都江堰景区Dujiangyan Irrigation System,35,94.0,中国目前保存最完整的古代水利工程。,2.0,103.617464,31.006892,13976,0.28,https://img1.qunarzz.com/travel/d4/1611/29/9857583800a519b5.jpg_r_480x360x95_26afaed6.jpg,¥80
18700089,春熙路Chunxi Road,0,92.0,成都最具代表性的商业街，逛逛商场，吃吃小吃，打望美女。,,104.084506,30.662751,1761,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/f3e5b0905b49d3f930235e133002fea2.jpg_r_480x360x95_10d80da1.jpg,¥5
701768,宽窄巷子Kuanzhai Alley,718,90.0,喝茶泡吧、掏掏耳朵，吃吃火锅，感受成都人幸福的悠闲生活。,2.0,104.059763,30.669938,12765,0.68,https://img1.qunarzz.com/travel/d6/1706/f7/866f3a1e54b014b5.jpg_r_480x360x95_f27cba32.jpg,¥32
713643,成都天台山Tiantai Mountain,7,86.0,溪流瀑布、奇特的石林，避暑游山的好去处，还是萤火虫观赏基地。,3.0,103.125223,30.280143,571,0.0,https://img1.qunarzz.com/travel/d3/1808/d4/d990cbfac470a0b5.jpg_r_480x360x95_af236f9e.jpg,¥55
711537,西岭雪山Xiling Snow Mountain,11,92.0,距离成都市区非常近的雪山，景色壮美，还有众多的雪上游乐项目。,1.0,103.195276,30.691077,2419,0.02,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/b7bb37c983ee1c690823285ad5702d73.jpg_r_480x360x95_c8658275.jpg,¥18
712260,洛带古镇Luodai Ancient Town,7,86.0,成都近郊的客家古镇，吃伤心凉粉，泡茶馆，感受一下客家风俗。,1.0,104.332232026,30.6428975711,650,0.01,https://img1.qunarzz.com/travel/d4/1506/a9/6309e824472e1c.jpg_r_480x360x95_d54abf83.jpg,¥0.3
713347,武侯祠Wuhou Shrine,386,90.0,刘备和诸葛亮的合祀的祠宇，中国唯一的君臣合祀祠宇。,5.0,104.054625,30.652927,7967,0.46,https://img1.qunarzz.com/travel/d6/1705/f9/80e63ac63def24b5.jpg_r_480x360x95_548fcaa4.jpg,¥50
9190653,熊猫谷Panda Valley,2,86.0,这里有参加野化训练的熊猫宝宝。,7.0,103.596947,30.968148,82,0.0,https://img1.qunarzz.com/travel/d6/1701/bc/b04d43deea402db5.jpg_r_480x360x95_93079093.jpg,¥739
9476114,川西竹海景区Bamboo Canyon Scenic Area (Jinji Valley),1,88.0,景区内竹子遍布，空气清新，是“天然氧吧”。,293.0,103.310432,30.349301,208,0.0,https://img1.qunarzz.com/piao/fusion/2110/a3/4c74995e9d3eea02.jpg_r_480x360x95_67350fd4.jpg,¥53.7
26577263,西岭雪山大飞水风景区Xiling Xueshan Dafeishui Scenic Area,0,90.0,,,103.20475,30.669339,22,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/8a300fa4a0d2d0ff4bc659f1c1dabb20.jpg_r_480x360x95_ffa91889.jpg,¥29.9
711873,锦里古街Jinli Ancient Street,406,88.0,成都最古老、最热闹繁华的商业街区，能品尝到众多的当地美食。,3.0,104.056428,30.651707,14435,0.61,https://img1.qunarzz.com/travel/d4/1701/1f/bee68613f8ad62b5.jpg_r_480x360x95_6e0b64b8.jpg,¥5
701741,黄龙溪Huang Longxi,12,88.0,漫步闲逛，感受古镇的悠闲。每年正月的烧火龙活动热闹非凡。,1.0,103.976486,30.323409,2495,0.03,https://img1.qunarzz.com/travel/d5/1809/4d/f1a66708446b52b5.jpg_r_480x360x95_99b9bfb7.jpg,¥1
715147,青城后山Qingcheng Houshan,8,90.0,农家乐小住，随性散步游山，呼吸清新的空气，感受山中的清幽。,3.0,103.487698,30.927146,808,0.05,https://img1.qunarzz.com/travel/d8/1706/e2/33c7b5edc673d9b5.jpg_r_480x360x95_254d6a78.jpg,¥20
709760,杜甫草堂Du Fu's Thatched Cottage,267,92.0,唐代大诗人杜甫当年流离成都时的寓所，收藏有书法“四绝”。,4.0,104.034938,30.666527,4894,0.38,https://img1.qunarzz.com/travel/d1/1706/8a/fa269b7114634eb5.jpg_r_480x360x95_4030712a.jpg,¥49.5
709770,街子古镇Jiezi Ancient Town,3,90.0,依山傍水的古镇，还有光严禅院内珍藏的佛门珍宝“洪武南藏”。,1.0,103.56491,30.820081,458,0.01,https://img1.qunarzz.com/travel/d7/1607/c5/c7cc21484c943b9a.jpg_r_480x360x95_d6ec8703.jpg,¥54
702435,文殊院Wenshuyuan,181,90.0,院内供奉有300多尊佛像，材质不同，形态各异；院内的素斋也很赞。,10.0,104.079,30.681322,1177,0.29,https://img1.qunarzz.com/travel/poi/201404/11/ae2bd3d73434d5b2ddb12cfb.jpg_r_480x360x95_b7ee3b03.jpg,¥0.9
