,中文名,景点排名,攻略数量,评论数量,旅游率,景区介绍,评分,地址,开放时间,门票,价格
0,平潭岛,2,19,747,4%,福建第一大岛，有三大海滨沙滩，保留着原始海岛风貌。,4.5,福建省福州市平潭县,全天开放,免费,21
1,三坊七巷,1,76,4626,51%,白墙灰瓦，木质房屋，感受南方细腻的手工艺，来此看一下名人故里，吃吃特色小食。,4.5,福州市鼓楼区三坊七巷,全天开放，其中商铺开放时间各不相同。,30元/人，部分景点收取门票或提供联票,
2,龙凤头海滨浴场,298,3,191,0%,全国最大的海滨浴场之一，白沙碧海，是喜欢游泳的游客不可不去的一处胜地。,4.5,福州市平潭县坛西大道龙凤头海滨公园向北250米,全年 全天开放,免费,
3,飞云峡,327,0,22,0%,,3.7,福州市寿山乡岭头村,8:00-17:00，16:00停止入场。,25元,9.9
4,芙蓉溪(福州天使之泪),0%,0,0,0%,,0.0,福州市晋安区,,具体收费情况以现场公示为主,
5,云湖溪谷风景区,6%,0,0,0%,,4.0,福州市永泰县葛岭镇赤壁村溪里35号,全年 08:00-17:00,,
6,福州国家森林公园,6,6,643,6%,环境清幽的森林公园，是休闲锻炼的好去处。,4.6,福州市晋安区新店镇上赤桥,全年 08:00-16:30,具体收费情况以现场公示为主,1.6
7,坛南湾,306,9,126,1%,坛南湾东临大海，滩面平缓，细沙如银，有&quot;坛南银滩&quot;之称，是福州绝美佳景。,4.4,福州市平潭县环岛东路,全天开放,免费,
8,海坛古城,38,10,565,1%,畅玩主题乐园，探秘充满海上奇闻怪事的古街，共享一场闽海风情的声光盛宴。,4.2,福州市平潭县综合实验区环岛东路与翠园南路交汇处,1/1-6/30 全天开放 ;7/1-8/31 09:30-18:00;9/1-12/31 全天开放,免费,35
9,鼓山,8,11,968,17%,福州知名景点，是个爬山锻炼身体的好地方，山上的千年古刹涌泉寺香火旺盛。,4.5,福州市晋安区鼓山镇鼓山风景区,全年 全天开放,具体收费情况以现场公示为主,
10,上下杭,7,5,133,0%,,4.6,福建省福州市台江区苍霞上下杭(下杭路北),全年 全天开放,具体收费情况以现场公示为主,
11,鳝溪风景区,0%,0,0,0%,,0.0,北三环鼓山之北,,具体收费情况以现场公示为主,
12,北港村,0%,0,122,0%,,4.7,福州市平潭流水镇北港村,全年 全天开放,,
13,闽越水镇,1%,0,12,0%,,4.3,福州市闽侯县316国道东,10/1-12/31 09:00-21:00,38元,59
