,中文名,景点排名,攻略数量,评论数量,旅游率,景区介绍,评分,地址,开放时间,门票,价格
0,永定土楼,15,7,759,72%,中国建筑史上的奇葩，独一无二的神奇山居建筑凸显着聚族而居的客家人的古老传统。,4.5,龙岩市永定区湖坑镇洪坑村,全年 08:30-17:00,参观永定土楼的部分景区需要门票,68
1,长汀古城,3,7,184,0%,漫步于古城墙俯瞰客家民居风貌，逛逛传统店铺、品尝长汀美食，品味古城生活。,4.5,龙岩市长汀县其他兆征路80号,全年 全天开放,免费,0
2,连城冠豸山,11,2,710,4%,登客家深山，感受山间清凉，欣赏文人崖刻，领略旖旎的山水风光和璀璨的客家文化。,4.6,龙岩市连城县冠豸山景区,5/1-10/31(夏季) 08:00-17:00;11/1-4/30(冬季) 08:00-16:00,115元,114.5
3,汀州古城,2,0,0,0%,,--,,,,0
4,龙岩森林水乡景区,0%,0,13,0%,,4.4,龙岩市新罗区小池镇培斜村,1/1-12/31 08:30-17:00,158元,98
5,培田古民居,5,3,238,5%,,4.4,龙岩市连城县宣和乡培田村,8:00-22:00；节假日正常开放；信息仅供参考，具体开放时间以景区当天披露为准。,50元,42.9
6,长汀红色旧址群,5,0,58,0%,,4.7,龙岩市长汀县汀州镇兆征路43号,全年 周二-周日 08:00-12:00;全年 周一 全天不开放 ;全年 周二-周日 15:00-18:00,具体收费情况以现场公示为主,0
7,洪坑土楼民俗文化村,10,5,249,7%,,4.5,福建省龙岩市永定县,全年 08:30-17:00,90元,0
8,龙硿洞,13,1,71,0%,,4.4,龙岩市新罗区雁石镇龙康村,5/1-10/8 08:45-17:30;10/9-4/30 08:45-17:00,55元，导游讲解30元,25
9,古田会议会址,15,0,4,0%,,4.7,龙岩市上杭县古田镇古田路(古田旅游区),夏令8:00-18:00；冬令8:00-17:30。,具体收费情况以现场公示为主,0
10,初溪土楼群,0%,2,128,4%,,4.5,龙岩市永定县下洋镇初溪村,全年 8:00-17:00,70元,40
11,古田会议旧址景区,16,1,136,2%,,4.6,龙岩市上杭县古田镇古田路85号,全年 08:00-18:00,免费,1388
12,丁屋岭,1,4,16,0%,,4.2,龙岩市长汀县古城镇丁黄村,景区暂时停业，详情请以景区公示为准；原开放时间：全天开放,具体收费情况以现场公示为主,0
13,长汀古城墙,6,3,68,1%,,,,,,0
14,承启楼,58,9,183,19%,,,,,,0
15,福建省苏维埃政府旧址,4,1,0,1%,福建省苏维埃政府旧址，全国重点文物保护单位，位于福建省长汀县汀州镇兆征路41号。该址宋代为汀州禁军署地，元代为汀州卫署址，明、清两代辟为试院，是汀州历史极具象征意义的一处古迹。1932年3月18日，福建省第一次工农兵代表大会在此隆重召开，…,5.0,福建省长汀县汀州镇兆征路41号,,,0
16,梁野山,4,1,188,0%,奇山异石、千峰竞秀的梁野山，是进行森林探险、生态旅游的首选之地。,4.5,龙岩市武平县城厢镇梁野山景区,夏季（5月1日-10月7日）8:00-18:00；冬季（10月8日-次年4月30日）8:00-17:00；信息仅供参考，具体开放时间以景区现场披露为准。,2022年5月1日-7月1日梁野山景点门票免费（不含二次消费项目）,52.2
17,冠豸山国家地质公园,1,0,0,0%,,4.7,007乡道东50米,,具体收费情况以现场公示为主,0
18,龙岩长汀古镇,0%,0,0,0%,,--,龙岩市长汀县长汀镇615县道与319县道交叉口,全年 6:00-18:00,,0
19,长汀县水土保持科教园,0%,0,0,0%,,--,兆征路卧龙楼601,,具体收费情况以现场公示为主,0
20,永福樱花园,0%,2,48,0%,永福樱花园是中国最美的赏樱胜地之一，曾静凭借其超高颜值登上《国家地理杂志》封面，一般在每年的春节前后开放，还会举办一年一度的樱花节，吸引八方游客前往参观。,4.6,龙岩市漳平市永福镇李庄村,全天开放,免费,0
21,振成楼,2,5,67,15%,,4.4,龙岩市永定县湖坑镇洪坑村客家土楼民俗文化村内,具体开放时间请咨询景区,包含于客家土楼民俗文化村（洪坑）景区，通用于客家土楼民俗文化村（洪坑）门票内。,68
22,振福楼,2,3,6,6%,位于湖坑镇下南溪。它是举世无双的人文景观与自然景观的最佳融合。大门前面清澈的南溪缓缓而来，溪面宽阔，河里大石横卧，形态各异。,4.0,湖坑镇政府往南,7:00-19:00,50元,89
23,世泽楼,12,2,35,3%,,4.5,福建省龙岩永定县高头乡高北村,全年 7:00-19:00,高北村土楼群门票为50元/人，包括承启楼、世泽楼与五云楼等代表建筑。,0
24,紫金山工业生态旅游区,17,2,0,0%,"紫金山工业生态旅游区位于上杭县紫金山金铜矿，是首批“国家矿山公园”、首批“全国工业旅游示范点”之一。景区山环水绕，风景秀丽；同时拥有全国最大的露天采矿场、10万吨级的特大型铜矿。感受工业魅力，见证黄金是怎样炼成的。
上杭县紫金工业生…",--,上杭县紫金山金铜矿,9:00-17:00,免费,0
25,云顶观光茶园,25,1,1,0%,,5.0,龙岩市新罗区小池镇,全天,10元,0
26,龙门峡洞,14,0,0,0%,,--,庵杰乡205省道,,,0
27,凤山公园,0%,0,0,0%,,--,凤城街道体育路34号附近,,具体收费情况以现场公示为主,0
28,卧龙书院,0%,0,0,0%,,4.8,龙岩市长汀县新民街西50米,全年 09:00-21:00,60元,57
29,福建土楼沟漂流-半漂起点,0%,0,0,0%,,--,龙岩市-永定区-湖坑镇南中村南兴楼(福建土楼沟漂流游客服务中心)福建土楼沟漂流内,,具体收费情况以现场公示为主,0
30,生命之门,13,0,0,0%,,5.0,龙岩市连城县冠豸山景区内,具体开放时间请咨询景区,首道大门票收费情况请咨询景区,0
31,黄连盂,0%,0,0,0%,,--,福建省龙岩市,,具体收费情况以现场公示为主,0
32,培斜同心玻璃桥,0%,0,3,0%,,3.3,龙岩市新罗区培斜景区,9:00-18:00,80元,53
33,太平山,0%,0,1,0%,,5.0,龙岩市武平县,,,0
34,连城县图书馆,0%,0,0,0%,,--,莲峰镇北大中路14号,,具体收费情况以现场公示为主,0
35,永定古镇,0%,0,6,0%,,4.3,高头镇永定古镇,,具体收费情况以现场公示为主,0
36,汀江国家湿地公园,0%,1,23,0%,,4.1,龙岩市长汀县三洲镇汀江国家湿地公园（X651县道旁）,8:30-17:30；节假日正常开放；信息仅供参考，具体开放时间以景区当天披露为准。,30元,27
37,南溪土楼群,7,0,295,0%,,4.4,湖坑镇新南村,7:00-19:00,具体收费情况以现场公示为主,68
38,永定龙湖景区,23,1,1,0%,永定龙湖景区位于永定县，龙湖湖面烟波浩淼，碧波万顷，湖边半岛纵横，水环山，山抱水，相映成趣，形成独具特色的自然山水风光。,0.0,龙岩市永定县606省道附近,,,0
39,店头街,28,3,5,1%,明清古街店头街，是长汀四大历史传统街区之一，是古汀州城最早的商业街区，也是长汀的核心组成部分。古街前店后宅，下店上宅，集传统行业于一街市，保存丰富的历史建筑，保留着较为完整的传统格局和独特的历史风貌，基本维持其原有的社会功能和经济…,4.0,福建省龙岩市长汀县,全天开放,免费,0
40,如升楼,11,3,30,5%,,4.4,龙岩市永定县湖坑镇洪坑村北部客家土楼民俗文化村里,全年 7:00-19:30,具体收费情况以景区现场公示为主。,0
41,石门湖,14,2,204,2%,,4.6,龙岩市连城县石门湖路7号,5月1日-10月31日8:00-17:30；11月1日-次年4月30日8:30-17:00；信息仅供参考，具体开放时间以景区当天披露为准。,115元,114.5
42,永福花乡,1,2,11,0%,"永福地处闽西南结合部，属漳平市，四周群山环抱，一马平川，海拔755米。这里山明水秀，气候宜人，有“小庐山”之誉。
永福早期为畲族聚居地，文物古迹很多，有螯头古瓷窑址、毓秀塔、步云桥、惠宫桥及长青楼古堡等。永福更是著名花乡。这里家家养花…",5.0,福建漳平市闽西南结合部,8：00-17：00,免费,0
