,中文名,景点排名,攻略数量,评论数量,旅游率,景区介绍,评分,地址,开放时间,门票,价格
0,西街,14,13,292,5%,西街是泉州最早开发的街道和区域，保留着大量具有历史原貌的建筑。,4.5,泉州市丰泽区城西路与西街交叉口,全年 全天开放,具体收费情况以现场公示为主,
1,风车岛,25%,0,8,0%,,4.5,泉州市惠安县小岞镇,全年 全天开放,具体收费情况以现场公示为主,
2,崇武古城风景区,1,5,863,25%,崇武古城位于惠安县东南海滨，当时为抵御倭寇所建，除了古城墙之外还有惠安石雕可观赏。,4.2,泉州市惠安县东南海滨,夏季（3月1日-10月31日）7:30-18:30，冬季（11月1日-次年2月29日）7:30-17:30。,45元,37.4
3,洛阳桥,8,5,282,21%,桥上有宋代四大书法家之一的蔡襄自撰自书的《万安桥记》，欣赏古代桥梁的建筑艺术。,4.6,泉州市洛江区桥南街与蔡襄路交叉口,全年 全天开放,具体收费情况以现场公示为主,278
4,黄金海岸度假区,2,4,142,2%,,4.3,泉州市石狮市永宁镇海滨,全年 全天开放,景区免费开放，景区内住宿、娱乐另外收费。,110
5,石牛山景区,51,3,51,1%,,4.4,泉州市德化县水口镇水口街湖坂村赤石口,11/1-3/31 08:30-17:00;4/1-10/31 08:00-18:00,20元,275
6,清源山,4,15,1100,20%,泉州唯一一个5A级景区，这里有我国现存最大、年代最久的道教石雕造像——老君岩。,4.3,泉州市丰泽区泉山路,全年 08:00-17:30,70元,63.4
7,永宁古镇,1,4,46,1%,,4.2,泉州市石狮市城隍大道,全年 全天开放,免费,
8,大开元寺,2,28,1508,44%,泉州知名的寺庙，香火鼎盛，可以来此祈福，这里有国内非常罕见的戒坛。,4.7,泉州市鲤城区西街176号,6:00-11:00，15:00-18:00,免费,350
9,清净寺,11,19,200,32%,阿拉伯穆斯林在中国创建的现存最古老的伊斯兰教寺，有很多刻着回文的石刻石碑。,4.4,泉州市鲤城区涂门街108-110号,全年 7:30-17:30,具体收费情况以现场公示为主,268
10,西沙湾,2,1,126,0%,西沙湾地处著名的崇武海滨，有优质沙滩，还有丰富多彩的民俗风情和杂技表演。,4.5,泉州市惠安县崇武镇店下南路联群西沙苑南100米,全年 全天开放,免费,268
11,承天寺,9,3,137,5%,泉州著名的古寺之一，知名度仅次于开元寺，闹市中难得的清净之所，环境清幽。,4.7,泉州市鲤城区南俊路36号,"全年 08:00-11:00,14:00-16:00",具体收费情况以现场公示为主,5
12,惠安女民俗风情园,6,1,25,3%,,4.2,泉州市惠安县崇武镇大岞村,8:00-19:00,免费,30
13,深沪湾海底古森林遗迹自然保护区,67,1,52,2%,,4.2,泉州市晋江市深沪镇华峰村,全年 全天开放,具体收费情况以现场公示为主,
14,五店市传统街区,1,1,505,2%,闽南特色建筑群的集合，欣赏多元建筑的完美交融，感受闽南深厚的文化底蕴。,4.6,泉州市晋江市梅岭街道五店市传统街区,全天开放,具体收费情况以现场公示为主,278
15,泉州欧乐堡海洋王国乐园,0%,0,0,0%,,4.7,福建省泉州市台商投资区张坂镇海湾大道,11/1-12/31 09:30-18:00,,
16,小西埕,0%,0,1,0%,感受古城的新魅力,4.0,鲤城区开元街道新春社区新街21号,,免费开放,
17,九仙山风景区,13,1,100,0%,攀登刺激冒险的天梯，欣赏日出、云海、雾松三绝，感受登山观景的乐趣。,4.3,泉州市德化县泉州德化赤水镇,5:00-17:30,55元,69
18,泉州钟楼,37,1,127,3%,泉州钟楼是1934年建设东西街十字路时建的标准钟楼，具有欧洲风格。,4.4,泉州市鲤城区西街与东街的交汇处,全年 全天开放,免费,
19,安溪桫椤谷风景区,10,0,14,0%,,4.4,泉州市安溪县龙门镇S206旁桫椤谷风景区,8:30-17:30,50元,138
