,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,中文名,英文名
0,鼓浪屿Gulangyu Island,495,88.0,世界文化遗产，特色店铺众多，建筑漂亮，生活气息和文艺范儿并重。,1.0,118.074046,24.451669,30724,0.68,鼓浪屿,GulangyuIsland
1,中山路步行街Zhongshan Road Pedestrian Street,632,88.0,厦门地标式商业街，欣赏连排的骑楼式建筑，搜罗地道的闽南小吃，感受鹭岛的独特魅力。,3.0,118.08563,24.460219,3390,0.53,中山路步行街,ZhongshanRoadPedestrianStreet
2,曾厝垵Zeng Cuo An Village,1071,86.0,厦门文创新地标，美食与文化的激情碰撞，去寻找文艺外表下充满生命力的古朴村落。,1.0,118.133063,24.432525,5815,0.51,曾厝垵,ZengCuoAnVillage
3,白城沙滩Baicheng Beach,369,92.0,靠近厦大的免费沙滩，漫步、海边玩耍，这是天然的休闲公园。,10.0,118.109353,24.438169,864,0.28,白城沙滩,BaichengBeach
4,厦门大学Xiamen University,1189,90.0,依山傍海，中西结合的独特建筑风格，被誉为中国最美的大学之一。,2.0,118.106534,24.443024,12520,0.79,厦门大学,XiamenUniversity
5,环岛路Huandao Road,637,94.0,享受海边骑行的快乐，边骑边看美丽风景。,6.0,118.116178,24.43582,5453,0.44,环岛路,HuandaoRoad
6,南普陀寺South Putuo Temple,724,92.0,全国闻名的佛教寺院，寺内的素斋和素饼都获过奖，还可登高望远。,5.0,118.103053,24.447029,4768,0.67,南普陀寺,SouthPutuoTemple
7,厦门园林植物园Xiamen Botanical Garden,137,92.0,环境很好的植物园，有多种稀有植物景观，也适合周末爬山休闲。,12.0,118.116097,24.454744,1910,0.1,厦门园林植物园,XiamenBotanicalGarden
8,沙坡尾避风坞Shapowei Wind Shelter,115,86.0,,7.0,118.094593,24.443997,290,0.02,沙坡尾避风坞,ShapoweiWindShelter
9,椰风寨Yefeng Village,91,88.0,很长的免费沙滩，游客不多，可以远眺金门岛。,18.0,118.176048,24.453568,274,0.03,椰风寨,YefengVillage
10,厦门双子塔Xiamen Twin Towers,15,86.0,厦门新地标，登上55层观光厅，眺望鼓浪屿，俯瞰鹭岛风情。,8.0,118.0951599497,24.4419278574,103,0.0,厦门双子塔,XiamenTwinTowers
11,钟鼓索道Zhonggu Cableway,32,92.0,在高空中俯瞰厦门全景，在天然氧吧中任性遨游。,42.0,118.100307,24.459431,540,0.04,钟鼓索道,ZhongguCableway
12,集美大学Jimei University,27,94.0,,32.0,118.101029,24.58848,154,0.0,集美大学,JimeiUniversity
13,日光岩Sunlight Rock,184,90.0,鼓浪屿的最佳观景点，从上而下俯视鼓浪屿全岛及厦门市区景象。,3.0,118.073971,24.448605,3950,0.55,日光岩,SunlightRock
14,集美学村Jimeixue Village,129,90.0,风格中西合璧的大学城，可以在校园里感受浓重的学术氛围。,16.0,118.099097,24.572556,933,0.16,集美学村,JimeixueVillage
15,南华路文化吧一条街Nanhualu Wenhua Ba Yi Tiao Street,11,88.0,,28.0,118.099124,24.447236,70,0.0,南华路文化吧一条街,NanhualuWenhuaBaYiTiaoStreet
16,港仔后海滨浴场Gangzai Beach,7,88.0,,46.0,118.074523,24.44599,214,0.01,港仔后海滨浴场,GangzaiBeach
17,海湾公园Bay Park,37,90.0,可在公园内远眺大海，吹海风，附近的酒吧街更是泡吧族们的最爱。,36.0,118.0827129933,24.4794001296,303,0.02,海湾公园,BayPark
18,沙坡尾艺术西区Shapowei Art Zone West District,32,88.0,,3.0,118.093722,24.443942,91,0.0,沙坡尾艺术西区,ShapoweiArtZoneWestDistrict
19,厦门海底世界Xiamen Underwater World,22,82.0,有迄今为止中国发现最大的抹香鲸骨架。,2.0,118.077712,24.452178,1004,0.18,厦门海底世界,XiamenUnderwaterWorld
20,天竺山森林公园Tianzhu Mountain Forest Park,2,82.0,来“厦门后花园”亲近自然，感受绿意盎然的山林风光，欣赏澄澈镜面的湖水倒影。,137.0,117.933101,24.596271,126,0.0,天竺山森林公园,TianzhuMountainForestPark
21,菽庄花园Xinzhuang Garden,137,90.0,看闽南风格融合西洋色彩的园林景观。这里也有很好的观海点。,7.0,118.076176,24.445221,2261,0.48,菽庄花园,XinzhuangGarden
22,珍珠湾Pearl Bay,57,92.0,沙细水清，还有轻风拂面，来到海边千万不要错过这个沙滩浴场。,86.0,118.118407,24.434435,233,0.0,珍珠湾,PearlBay
23,猫咪博物馆Cat Museum,97,84.0,,13.0,118.097946,24.446405,170,0.0,猫咪博物馆,CatMuseum
24,黄厝沙滩Huangcuo Beach,27,90.0,,39.0,118.170182,24.449303,53,0.0,黄厝沙滩,HuangcuoBeach
25,厦门科技馆Xiamen Science and Technology Museum,36,92.0,可以带孩子来这里感受新科技带来的乐趣，开拓孩子们的视野。,14.0,118.114726,24.496719,758,0.0,厦门科技馆,XiamenScienceandTechnologyMuseum
26,大德记浴场Dadeji Bathing,5,86.0,,3.0,118.081550192,24.4464626312,26,0.0,大德记浴场,DadejiBathing
27,海角八号,2,80.0,,19.0,118.074075,24.451883,10,0.02,海角八号,
28,云顶山Yunding Mountain,2,90.0,,127.0,118.1620147226,24.8985689251,10,0.0,云顶山,YundingMountain
29,蔡尖尾山公园Caijianwei Mountain Park,0,90.0,,204.0,118.0355784944,24.5042730121,8,0.0,蔡尖尾山公园,CaijianweiMountainPark
30,风琴博物馆Organ Museum,57,88.0,在音乐之岛鼓浪屿逛风琴博物馆，看各种复古的风琴。,14.0,118.075014,24.453414,724,0.14,风琴博物馆,OrganMuseum
31,金銮湾,6,94.0,从福建 漳州市铜陵镇沿西铜公路西行2公里处，有一条宽阔、笔直的水泥大道，把你引向海滨，这就是闻名遐迩的马銮湾海滨浴场。,565.0,117.49395,23.711138,11,0.0,金銮湾,
32,白鹭洲公园Bailuzhou Park,56,90.0,草坪修建得很漂亮，有个很大的湖，环境很好的免费公园！,34.0,118.099812,24.480246,501,0.15,白鹭洲公园,BailuzhouPark
33,皓月园Haoyue Garden,83,90.0,看郑成功巨型石像，纪念人民英雄。,18.0,118.082034,24.448247,1094,0.35,皓月园,HaoyueGarden
34,北辰山Beichen Mountain,1,88.0,可以看十二龙潭瀑布，形态各异，水潭清澈见底。,220.0,118.257953,24.807123,94,0.0,北辰山,BeichenMountain
35,梧村影剧院,0,0.0,,,118.1321946461,24.4766191715,0,0.0,梧村影剧院,
36,观音山Mount Guanyin,32,90.0,,26.0,118.204636,24.501242,47,0.01,观音山,MountGuanyin
37,厦门园林博览苑Xiamen Horticultural Expo Garden,11,90.0,园林大观园，一次性参观多种园林风格，空气清新很适合漫步。,41.0,118.0795386296,24.5791044969,388,0.0,厦门园林博览苑,XiamenHorticulturalExpoGarden
38,胡里山炮台Hulishan Fort,245,92.0,这里有着大大小小的炮台，带你走近并了解那段历史。,11.0,118.112945,24.435578,2622,0.44,胡里山炮台,HulishanFort
39,上李水库公园Shanglishuiku Park,0,90.0,,,118.13068,24.4534,9,0.0,上李水库公园,ShanglishuikuPark
