,中文名,景点排名,攻略数量,评论数量,旅游率,景区介绍,评分,地址,开放时间,门票,价格
0,东山岛,3,22,680,3%,比鼓浪屿更清澈的海湾，在这里你可以看潮汐、日出，出海捕鱼，尽情享受海边乐趣。,4.6,漳州市东山县东山岛,全天开放,海岛免费开放，入岛无门票，岛上景点需要门票,41.8
1,鱼骨沙洲,0%,0,26,0%,,4.1,漳州市东山县岐下村,04/17-12/31 09:00-16:30,景区免费，如坐船前往需收船费。,149
2,南门湾,2,8,64,0%,,4.5,漳州市东山县铜陵镇南门湾,全天开放,免费,128
3,火山岛旅游休闲度假区,26,2,685,0%,欣赏滨海火山地质地貌，碧海蓝天，绿植茂密，非常适合观光、露营。,4.3,漳州市漳浦县前亭镇火山岛度假村(滨海火山国家地质公园),5/1-10/31 08:15-15:30;11/1-4/30 08:15-17:30,15元,198
4,漳州古城,2,5,79,0%,,4.6,漳州市芗城区，东入口位于修文东路与新华南路交汇处，西入口位于钟法路与振成巷交汇处，北入口位于延安南路北段、中山公园东门口。,全年 全天开放,具体收费情况以现场公示为主,519
5,云水谣景区,4,38,922,33%,电影《云水谣》的拍摄地，看客家传统土楼，赏自然清新田园风光。,4.4,漳州市梅林镇璞山村,全天开放,门票含和贵楼、云水谣古镇、怀远楼三个景点。,
6,灵通风景区,6,0,85,0%,欣赏世界第一天然大佛和飞瀑景观，去悬崖绝壁之上的灵通寺祈福。,4.6,漳州市平和县,全年 08:00-17:00,20元,
7,田螺坑土楼群,5,22,1918,17%,世界文化遗产——“四菜一汤”，世界上特有的、神话般的山区建筑模式。,4.5,漳州市南靖县书洋镇,全天开放,100元,85
8,云水谣古镇,21,5,4027,0%,漫步历史悠久的古村庄，观赏客家传统土楼建筑，倚靠百年老榕享受美妙的闲暇时光。,4.5,漳州市南靖县书洋镇云水谣古镇,全天开放,90元,85
9,镇海角,4,9,168,0%,,4.1,漳州市龙海市隆教畲族乡镇海村,全年 全天开放,具体收费情况以现场公示为主,198
10,十里蓝山,3,1,213,0%,畅游花海，欣赏四季花色，来一次放松身心的田园之旅吧。,4.0,漳州市长泰县马洋溪生态旅游区山重村境内,全年 08:30-21:30,70元,64
11,百丈崖瀑布,0%,0,0,0%,,--,漳州市长泰区G355,全年 全天开放,具体收费情况以现场公示为主,
12,澳角村,8,1,19,0%,,4.1,漳州市东山县澳角村,全年 全天开放,具体收费情况以现场公示为主,
13,马銮湾,5,6,277,3%,东山岛的热门海滩，水上娱乐项目众多，很适合亲子出行。,4.4,漳州市东山县康美镇西南,全天开放,5元,228
14,塔下村,6,16,216,15%,,4.5,漳州市南靖县书洋镇西部,全年 全天开放,90元,426
15,金銮湾沙滩,0%,0,17,0%,,4.8,漳州市东山县545县道东150米,,,
16,苏峰山,9,3,8,0%,苏峰山是东山岛的主峰，海拔274米，方圆10余公里。山有99峰，18胜景，奇峰异洞，比比皆是,4.6,位于福建省最南部的东山岛东部，临近铜山旧城,全天,免费,
17,东门屿,1,4,174,0%,,4.5,漳州市东山县铜陵镇环城路,景区暂停营业，具体以景区当天现场为准。,55元,100
18,岗寮,0%,0,0,0%,,5.0,漳州市漳浦县,,具体收费情况以现场公示为主,
