,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,中文名,英文名
0,故宫The Palace Museum,166,96.0,世界五大宫之首，是中国明清两代的皇家宫殿。,1.0,116.403414,39.924091,31849,0.52,故宫,ThePalaceMuseum
1,清凉谷风景区Qingliang Valley Scenic Area,1,82.0,在茂密树木和溪流瀑布间登山漫步，夏日体验众多的水上娱乐项目。,13.0,116.760481,40.639741,197,0.0,清凉谷风景区,QingliangValleyScenicArea
2,古北水镇Gubei Water Town,33,92.0,京郊少见的北方水镇，建筑古韵十足，泡温泉、登长城。,1.0,117.284632,40.661046,3474,0.01,古北水镇,GubeiWaterTown
3,玉渡山景区Yudu Mountain Natural Scenic Area,4,92.0,北京地区一块鲜为人知的胜景，现代人回归大自然最好的选择。,8.0,115.895804,40.55826,431,0.0,玉渡山景区,YuduMountainNaturalScenicArea
4,北京平谷金海湖Beijing Pinghu District Jinhai Lake,9,88.0,夏季参加丰富多彩的水上项目，秋天乘船欣赏沿岸漫山遍野的红叶。,190.0,117.310896,40.187348,341,0.0,北京平谷金海湖,BeijingPinghuDistrictJinhaiLake
5,八达岭长城Badaling Great Wall,40,94.0,“不到长城非好汉”，这里是长城的精华部分。,1.0,116.024067,40.362639,13871,0.38,八达岭长城,BadalingGreatWall
6,天安门广场Tiananmen Square,70,96.0,伟大祖国的标志，早起看一场庄严肃穆的升旗仪式，瞻仰人民英雄纪念碑。,3.0,116.404091,39.910095,8284,0.5,天安门广场,TiananmenSquare
7,颐和园Summer Palace,115,94.0,被誉为“皇家园林博物馆”，参观园林，泛舟昆明湖。,4.0,116.278749,40.004869,15172,0.43,颐和园,SummerPalace
8,房山白草畔自然风景区Fangshan Baicaopan Natural Scenic Area,1,90.0,观看长满野花的高山草甸，茂盛松林，还有山间云海。,30.0,115.6209,39.790098,31,0.0,房山白草畔自然风景区,FangshanBaicaopanNaturalScenicArea
9,百里山水画廊Baili Landscape Gallery Scenic Spot,2,90.0,北京自驾游的首选之地，四季景色变幻，沿途风光如画。,3387.0,116.257788,40.666026,185,0.0,百里山水画廊,BailiLandscapeGalleryScenicSpot
10,恭王府Prince Gong's Mansion,43,92.0,曾经和珅的宅邸，也是如今保存完整的王府。,5.0,116.392599,39.943381,3350,0.28,恭王府,PrinceGongsMansion
11,中国国家博物馆National Museum of China,26,96.0,超大的博物馆，四羊方尊、司母戊鼎等众多国宝所在地。,7.0,116.408018,39.911449,1531,0.15,中国国家博物馆,NationalMuseumofChina
12,人间花海景区Renjianhuahai Sceneic Area,0,84.0,,,117.210108,40.577356,7,0.0,人间花海景区,RenjianhuahaiSceneicArea
13,龙庆峡Longqing Gorge,4,90.0,京郊夏季休闲避暑的胜地，每年冬季的冰灯展也非常壮观。,2.0,116.009343,40.557851,726,0.0,龙庆峡,LongqingGorge
14,南锣鼓巷Nanluoguxiang,107,88.0,老北京胡同与小资情调结合，文艺青年的必逛之地。,2.0,116.4095,39.943166,4081,0.4,南锣鼓巷,Nanluoguxiang
15,珊瑚岛大冒险探险乐园,0,60.0,,,116.2921031109,39.8182409096,0,0.0,珊瑚岛大冒险探险乐园,
16,双龙峡Shuanglong Gorge,3,90.0,春季千亩杏花盛开，香味扑鼻，如同到了花的海洋。,1.0,115.720747,39.959169,151,0.0,双龙峡,ShuanglongGorge
17,海坨山Haituo Mountain,5,94.0,,174.0,115.825543,40.565287,63,0.0,海坨山,HaituoMountain
18,石林峡ShilinGorge,4,90.0,京郊罕见的石林峡谷，可以观看陡峭奇幻的地貌风光。,1.0,117.24851,40.268794,681,0.0,石林峡,ShilinGorge
19,爨底下村Cuandixia,9,88.0,参观古色古香的明清老建筑，在古村漫步、睡火炕、吃农家菜。,98.0,115.652612,40.001593,237,0.0,爨底下村,Cuandixia
20,三里屯Sanlitun,0,92.0,北京时尚潮流生活的地标，想要体验京城夜生活，更是不得不去。,,116.460972,39.940723,442,0.0,三里屯,Sanlitun
21,北京野生动物园Beijing Wildlife Park,5,94.0,开放式的动物园，坐在铁笼车里近距离给动物喂食，趣味十足。,45.0,116.340954,39.502139,2832,0.0,北京野生动物园,BeijingWildlifePark
22,白河湾Baihe Bay,0,100.0,,,116.696083,40.677656,0,0.0,白河湾,BaiheBay
23,雍和宫Yonghe Temple,30,92.0,乾隆皇帝的出生地，北京知名的藏传佛教寺院，香火极旺。,17.0,116.423776,39.953314,1115,0.17,雍和宫,YongheTemple
24,前门大街Qianmen Street,31,90.0,京味十足的商业老街，各类小吃让人大快朵颐！,13.0,116.40452,39.899651,2989,0.29,前门大街,QianmenStreet
25,圆明园Old Summer Palace,62,94.0,古老中国最深的一道伤疤，通过断壁残垣寻找当年帝国的辉煌掠影。,8.0,116.309736,40.016191,5542,0.32,圆明园,OldSummerPalace
26,什刹海Shichahai,57,92.0,历史街区簇拥的优雅湖泊，环境优美，也是北京夜生活的核心地带。,12.0,116.391243,39.948373,3731,0.29,什刹海,Shichahai
27,北京喇叭沟原始森林公园Labagoumen National Forest Park,2,88.0,北京保存最好的原始森林，春天看杜鹃花，秋天赏红叶。,188.0,116.495711,40.965737,320,0.0,北京喇叭沟原始森林公园,LabagoumenNationalForestPark
28,天坛Temple of Heaven,55,92.0,明清时期皇帝祭天之处，建筑精巧奇特，还可以参观祭天仪式表演。,6.0,116.419289,39.889918,5123,0.36,天坛,TempleofHeaven
