,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,中文名,英文名
0,广州塔Canton Tower,208,90.0,“广”字造型别具创意，登塔可俯瞰广州市景，还能体验极限项目。,2.0,113.331084,23.112223,13035,0.26,广州塔,CantonTower
1,上下九步行街Shangxiajiu Pedestrian Street,29,86.0,广州知名的商业街，欣赏岭南风情的骑楼建筑，逛街购物吃美食。,,113.2525233198,23.1198050901,1348,0.0,上下九步行街,ShangxiajiuPedestrianStreet
2,长隆野生动物世界Chimelong Safari Park,133,94.0,《爸爸去哪儿》的拍摄地，可以看到世界各地的动物，不乏珍稀品种，还有萌萌的熊猫三胞胎。,1.0,113.321711,23.007944,16673,0.16,长隆野生动物世界,ChimelongSafariPark
3,北京路步行街Beijing Road Pedestrian Street,14,90.0,如同去北京一般会去王府井大街逛逛一样，来广州也必去北京路步行街。,,113.275422,23.127945,763,0.0,北京路步行街,BeijingRoadPedestrianStreet
4,白水寨风景名胜区Baishuizhai Scenic Area,6,92.0,有多个观瀑平台，近距离欣赏白水仙瀑，感受瀑布奔流直下的气势。,7.0,113.771154,23.599255,1672,0.0,白水寨风景名胜区,BaishuizhaiScenicArea
5,长洲岛Changzhou Island,1,88.0,黄埔地区的江心岛，因黄埔军校所在地而出名，保留了很多文化古迹和革命史迹，环境也不错。,120.0,113.442626,23.082388,44,0.0,长洲岛,ChangzhouIsland
6,小杉村,0,100.0,,,113.9819715992,23.7712439113,0,0.0,小杉村,
7,沙面Shamian Island,154,92.0,众多欧陆风情的建筑，超级适合拍照的地方，也十分适合漫步其间。,3.0,113.251119,23.112627,4645,0.3,沙面,ShamianIsland
8,千泷沟大瀑布Qianlonggou Waterfall,1,90.0,竹林、奇石和飞瀑，登山、洗肺、亲水的好地方，还可以在竹海林溪中漂流。,55.0,113.864871,23.71356,499,0.0,千泷沟大瀑布,QianlonggouWaterfall
9,永庆坊Yongqing Lane,15,90.0,,121.0,113.244008,23.120549,103,0.0,永庆坊,YongqingLane
10,南平静修小镇Nanping Jingxiu Town,0,76.0,,,113.726403,23.556879,0,0.0,南平静修小镇,NanpingJingxiuTown
11,石室圣心大教堂Sacred Heart Cathedral,72,90.0,典型的哥特式建筑，非常壮观，入内还可以看到漂亮的彩色玻璃窗。,4.0,113.266557,23.120782,1069,0.24,石室圣心大教堂,SacredHeartCathedral
12,世间香境·七溪地,0,88.0,,,113.396561,23.536018,0,0.0,世间香境七溪地,
13,广东省博物馆Guangdong Provincial Museum,24,92.0,整体建筑以宝盒为理念，岭南画派的书画类馆藏最多。,16.0,113.33296,23.120537,720,0.06,广东省博物馆,GuangdongProvincialMuseum
14,珠江Pearl River,105,90.0,珠江全长2400公里，是我国七大江河之一，也是南方最大河系，水资源总量仅次于长江。,23.0,113.271873,23.070982,78,0.08,珠江,PearlRiver
15,白云山Baiyun Mountain,10,94.0,广州较为有名的踏青胜地，周末爬山的好选择。,6.0,113.306556,23.190623,1586,0.06,白云山,BaiyunMountain
16,溪头旅游村Xitou Village,4,82.0,看竹海滔滔，寻山溪飞瀑，体验原生态山村之美。,4.0,113.873632,23.719128,110,0.0,溪头旅游村,XitouVillage
17,流溪河国家森林公园Liuxi River National Park,3,84.0,这里森林苍翠、古木参天、溪水清澈，来此游山玩水，享受森林氧吧。,3.0,113.789932,23.756617,484,0.0,流溪河国家森林公园,LiuxiRiverNationalPark
18,沙湾古镇Shawan Ancient Town,19,86.0,始建于宋代的古镇，看三雕一塑镬耳屋，吃沙湾姜埋奶，体验“沙湾飘色”。,25.0,113.340932,22.909439,520,0.0,沙湾古镇,ShawanAncientTown
19,陈家祠Chen Clan Ancestral Hall,62,90.0,清代宗祠，建筑考究，随处可以见到木雕、砖雕等传统建筑装饰。,8.0,113.251995,23.132609,2258,0.18,陈家祠,ChenClanAncestralHall
20,广州二龙山薰衣草森林世界,0,100.0,中国美景与欧美小镇风情相结合的度假胜地。,1172.0,113.744701,23.361559,2,0.0,广州二龙山薰衣草森林世界,
21,太古仓Butterfield & Swire's Godowns & Wharf,17,90.0,以曾经的太古洋行码头仓库为基础打造的创意产业园区，休闲、吃饭、娱乐的好去处。,8.0,113.259118,23.094555,316,0.0,太古仓,ButterfieldSwiresGodownsWharf
22,大丰门景区Dafengmen Sceneic Area,3,84.0,,6.0,113.822317,23.589976,25,0.0,大丰门景区,DafengmenSceneicArea
23,从化温泉风景区Conghua Hot Spring Scenic Area,2,86.0,,1.0,113.658891,23.65494,103,0.0,从化温泉风景区,ConghuaHotSpringScenicArea
24,南沙天后宫Nansha Tianhou Palace,4,88.0,香火特别旺盛，是东南亚最大的妈祖庙，可以祈福，祭拜天后娘娘。,46.0,113.6251879757,22.7626055036,233,0.0,南沙天后宫,NanshaTianhouPalace
25,帽峰山景区Maofeng Mountain,2,86.0,广州的最高峰，走千年古道，享受游山的乐趣。,116.0,113.4634573304,23.3088559606,103,0.0,帽峰山景区,MaofengMountain
26,正佳极地海洋世界Grandview Aquarium,2,88.0,有超大型的水族展示缸和360度海底隧道，还能看到萌萌的企鹅和北极熊。,4.0,113.332856,23.137758,967,0.0,正佳极地海洋世界,GrandviewAquarium
27,广州大佛寺Guangzhou Big Buddha Temple,2,92.0,,331.0,113.27439,23.128772,100,0.0,广州大佛寺,GuangzhouBigBuddhaTemple
28,东山口Dongshankou,3,92.0,,,113.3018133005,23.1302147038,34,0.0,东山口,Dongshankou
29,广东科学中心Guangdong Science Center,7,94.0,大型科教基地，木棉花和航母结合的造型非常有设计感，非常适合带孩子们来游玩。,26.0,113.369589,23.045368,1284,0.0,广东科学中心,GuangdongScienceCenter
30,海鸥岛Gull Island,3,86.0,没有被开发的原生态小岛，吹着海风骑着单车非常的悠闲，是广州市民周末出游的好去处。,59.0,113.531663,22.97941,81,0.0,海鸥岛,GullIsland
