,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,中文名,英文名
0,千岛湖景区Thousand Island Lake,18,88.0,乘船徜徉清澈辽阔的水面，登梅峰岛俯瞰千岛湖全景，风光无限。,3.0,119.060105,29.552987,6511,0.08,千岛湖景区,ThousandIslandLake
1,杭州宋城Hangzhou Songcheng Park,77,92.0,看《宋城千古情》演出，逛仿古街市，体验宋朝市井风情。,2.0,120.105381,30.175794,6220,0.11,杭州宋城,HangzhouSongchengPark
2,西湖West Lake,683,94.0,杭州最美风光带，漫步苏堤、白堤，或坐手划船游湖。,1.0,120.12792,30.228932,27268,0.6,西湖,WestLake
3,灵隐寺Lingyin Temple,260,92.0,杭州最早的名刹，活佛济公的出家地，可礼佛祈愿，观赏历代文物。,4.0,120.107833,30.246914,6497,0.43,灵隐寺,LingyinTemple
4,垂云通天河Chuiyun Tongtian River,15,90.0,乘小木船在地下暗河漂流，看千奇百怪的钟乳石景观。,9.0,119.539381,29.931531,2941,0.0,垂云通天河,ChuiyunTongtianRiver
5,九溪烟树Nine Creeks in the Misty Forest,98,90.0,俗称“九溪十八涧”，也是狮峰龙井茶的主产区。,23.0,120.1196819235,30.2090717667,1013,0.05,九溪烟树,NineCreeksintheMistyForest
6,西溪国家湿地公园Xixi National Wetland Park,166,90.0,“杭州之肾”，坐船漫游芦苇荡、寻迹《非诚勿扰》取景处。,9.0,120.071528,30.27289,7869,0.23,西溪国家湿地公园,XixiNationalWetlandPark
7,江和美海洋公园Jianghemei Ocean Park,0,82.0,,124.0,120.2342613836,30.2746905973,37,0.0,江和美海洋公园,JianghemeiOceanPark
8,天子地Tianzidi,11,88.0,,51.0,119.375986,29.78919,139,0.0,天子地,Tianzidi
9,空谷长滩水公园Konggu Zhangtanshui Park,0,70.0,,,120.010248,30.226107,3,0.0,空谷长滩水公园,KongguZhangtanshuiPark
10,云栖竹径Yunqi Bamboo Trail,33,92.0,清幽的大竹海，电影《卧虎藏龙》的取景地，避暑消夏的好去处。,21.0,120.0973546486,30.1978025833,563,0.03,云栖竹径,YunqiBambooTrail
11,上天竺法喜讲寺Shangtianzhu Temple,7,92.0,,86.0,120.1023222665,30.2329407515,78,0.0,上天竺法喜讲寺,ShangtianzhuTemple
12,富阳龙鳞坝景区Fuyang Longlinba Sceneic Area,0,86.0,,,119.954476,29.815252,6,0.0,富阳龙鳞坝景区,FuyangLonglinbaSceneicArea
13,杭州野生动物世界Hangzhou Safari Park,1,92.0,带小朋友来看放养的各种动物，去看一场精彩的马戏表演。,1.0,119.991307,30.16025,1295,0.0,杭州野生动物世界,HangzhouSafariPark
14,富春江Fuchun River,11,100.0,素称“春江第一城”，以“奇山碧水”的旖旎风光和人文荟萃的名胜古迹闻名于世的建德，自古就有“锦峰绣岭、山水之乡”之誉，是理想的避暑胜地。,28.0,119.659816,29.760222,19,0.0,富春江,FuchunRiver
15,芦茨村Luci Village,1,88.0,,31.0,119.685213,29.690046,72,0.0,芦茨村,LuciVillage
16,京杭大运河杭州景区The Grand Canal Hangzhou,40,90.0,被列入《世界遗产名录》的古运河，可乘坐水上巴士赏两岸风光。,19.0,120.145115,30.322374,631,0.03,京杭大运河杭州景区,TheGrandCanalHangzhou
17,塘栖古镇Tangqi Ancient Town,4,90.0,京杭运河杭州段的开端，尝尝传统糕点，5月的枇杷也十分美味。,4.0,120.1884363619,30.48203422,442,0.0,塘栖古镇,TangqiAncientTown
18,钱塘江Qiantang River,5,90.0,观钱塘大潮，漫步钱塘江大桥，入夜赏两岸灯火辉煌。,165.0,120.1390020259,30.1947938771,512,0.0,钱塘江,QiantangRiver
19,大奇山国家森林公园Daqishan National Forest Park,15,90.0,景色秀气的小山，拥有清新的瀑布溪流，适合休闲游览。,3.0,119.73794,29.761747,915,0.0,大奇山国家森林公园,DaqishanNationalForestPark
20,清河坊街Qinghefang Street,187,88.0,逛人气古朴商业街，尝尝当地小吃，去胡庆余堂等老字号淘手信。,6.0,120.1757775314,30.245628586,1355,0.37,清河坊街,QinghefangStreet
21,彩虹谷Rainbow Valley,1,84.0,,49.0,119.7341393537,30.4074522639,40,0.0,彩虹谷,RainbowValley
22,雷峰塔Leifeng Tower,245,90.0,回味白娘子传说，在塔顶俯瞰西湖和净慈寺，看绝美西湖夜景。,8.0,120.155363,30.236901,4637,0.37,雷峰塔,LeifengTower
23,严子陵钓台Yan Ziling Fishing Platform,16,84.0,乘游船游览富春江，登上钓台俯瞰富春江如画的山水景色。,8.0,119.665807,29.703618,369,0.0,严子陵钓台,YanZilingFishingPlatform
24,蝴蝶谷,0,100.0,,,119.368553,30.336295,0,0.0,蝴蝶谷,
25,良渚古城遗址公园Liangzhugucheng Ruins Park,7,88.0,,,119.993671,30.386514,58,0.0,良渚古城遗址公园,LiangzhuguchengRuinsPark
26,梅峰揽胜,3,92.0,梅峰揽胜，位于千岛湖中心湖区西端的状元半岛上，以群岛星罗棋布、港湾纵横交错、生态环境绝佳而被确定为千岛湖的一级景点。,255.0,118.927673,29.5962,116,0.01,梅峰揽胜,
27,九溪十八涧Nine Creeks and Eighteen Gullies,0,92.0,,,120.1145249569,30.2166169335,18,0.0,九溪十八涧,NineCreeksandEighteenGullies
28,湘湖Xiang Lake,11,92.0,西湖的“姐妹湖”，人少景美，适合喜欢安静的游客。,74.0,120.221555,30.136275,703,0.0,湘湖,XiangLake
29,小河直街历史文化街区Xiaohe Zhijie Historical and Cultural District,6,92.0,,628.0,120.142542,30.313767,149,0.0,小河直街历史文化街区,XiaoheZhijieHistoricalandCulturalDistrict
30,光明寺水库Reservoir of Guangming Temple,0,90.0,,,120.0376479416,30.1834942413,0,0.0,光明寺水库,ReservoirofGuangmingTemple
31,太湖源Taihuyuan Scenic Area,2,86.0,烟波浩渺的太湖之源，山水纯净，姚明夫妇曾在这儿拍婚纱照。,5.0,119.56603,30.413225,523,0.0,太湖源,TaihuyuanScenicArea
32,梅城古镇Meicheng Ancient Town,0,88.0,,,119.507686,29.54482,12,0.0,梅城古镇,MeichengAncientTown
33,大明山景区Damingshan Scenic Area,7,92.0,壮美浙西山水，穿越万米岩洞、走悬空栈道，体验刺激的旱滑道。,1.0,118.998596,30.091985,1802,0.0,大明山景区,DamingshanScenicArea
34,三潭印月Three Pools Mirroring the Moon,122,90.0,一元纸币背面图案的原型，可登岛游览，用全新的视角看西湖。,12.0,120.150685,30.244073,1491,0.29,三潭印月,ThreePoolsMirroringtheMoon
35,瑶琳仙境Yaolin Fairyland,19,88.0,杭州经典的喀斯特溶洞景观，可欣赏瑰丽多姿的奇石。,7.0,119.545049,29.892018,1088,0.0,瑶琳仙境,YaolinFairyland
36,白云源Baiyunyuan,2,86.0,远离喧嚣的原生态深山氧吧，是夏季赏瀑避暑的好去处。,2.0,119.730909,29.712636,252,0.0,白云源,Baiyunyuan
37,新安江Xin'an River,0,80.0,,,119.1269021585,29.5530846223,1,0.0,新安江,XinanRiver
38,浙江美术馆Zhejiang Art Museum,3,90.0,西子湖畔气派的美术馆，能免费观赏大师级的珍贵画作。,41.0,120.163334,30.236852,153,0.0,浙江美术馆,ZhejiangArtMuseum
39,南宋御街Southern Song Imperial Street,138,88.0,逛古朴的商业街，寻找南宋时期古御街的痕迹。,7.0,120.177601,30.247498,870,0.13,南宋御街,SouthernSongImperialStreet
40,太子湾公园Prince Bay Park,53,94.0,春天来太子湾踏青，看郁金香绽放，拍一张真正的“花海”。,39.0,120.1486285469,30.2316481661,678,0.02,太子湾公园,PrinceBayPark
41,胡雪岩故居Hu Xueyan's Former Residence,30,94.0,晚清红顶巨商胡雪岩的豪宅，极尽奢华的江南园林。,34.0,120.179167,30.243087,1000,0.04,胡雪岩故居,HuXueyansFormerResidence
42,灵山洞景区Lingshan Cave,0,80.0,,,120.042864,30.120953,0,0.0,灵山洞景区,LingshanCave
43,天目山景区Tianmu Mountain Scenic Spot,4,88.0,古树参天，绿意笼罩的天然氧吧，爬山健行的理想选择。,31.0,119.436458,30.353794,428,0.0,天目山景区,TianmuMountainScenicSpot
44,浙西大峡谷West Zhejiang Grand Canyon,1,88.0,登高、赏瀑、玩漂流，呼吸大山里的清爽空气。,11.0,119.110145,30.240261,759,0.0,浙西大峡谷,WestZhejiangGrandCanyon
45,临安区昌化林场,0,0.0,,,119.128641,30.166369,0,0.0,临安区昌化林场,
46,断桥残雪Lingering Snow on the Broken Bridge,122,90.0,漫步桥上，回味《白蛇传》中许仙和白娘子断桥相会的桥段。,5.0,120.158179,30.264551,1184,0.29,断桥残雪,LingeringSnowontheBrokenBridge
47,宝石山,12,92.0,"宝石山位于杭州西湖的北里湖北岸，西湖新十景评选中，被命名为""宝石流霞""。",61.0,120.15064,30.267221,14,0.0,宝石山,
48,龙门秘境Longmen Mijing Scenic Spot,0,96.0,,,119.677838,30.372686,5,0.0,龙门秘境,LongmenMijingScenicSpot
49,杭州动物园Hangzhou Zoo,5,94.0,适合亲子游，有驯狮、驯虎等动物杂技表演可看。,15.0,120.139703,30.218839,900,0.0,杭州动物园,HangzhouZoo
50,杭州小冰岛Hangzhou Little Iceland,0,76.0,,,120.072925,30.140986,7,0.0,杭州小冰岛,HangzhouLittleIceland
51,钱塘江大桥Qiantang River Bridge,31,92.0,茅以升主持设计的大桥，站在桥上看钱塘江水奔流，别有一番滋味。,102.0,120.145518,30.19961,278,0.06,钱塘江大桥,QiantangRiverBridge
52,龙门古镇Longmen Ancient Town,5,84.0,在孙权后裔聚居地，看溪水人家的古镇生活，尝尝美味的孙权面筋。,3.0,119.958125,29.907164,634,0.0,龙门古镇,LongmenAncientTown
53,石舍村Shishecun,0,76.0,,,119.730834,29.646107,0,0.0,石舍村,Shishecun
54,南山路Nanshan Road,38,94.0,,111.0,120.164394,30.245194,156,0.03,南山路,NanshanRoad
55,王位山古道,0,0.0,,,119.827209,30.504238,0,0.0,王位山古道,
56,馒头山社区Mantoushan Community,2,84.0,,736.0,120.174816,30.223953,24,0.0,馒头山社区,MantoushanCommunity
57,小河直街XiaoHe ZhiJie,11,92.0,小河直街历史文化街区位于杭州市北部，地处京杭大运河、小河、余杭塘河三河交汇处。,17.0,120.142381,30.313023,15,0.0,小河直街,XiaoHeZhiJie
58,西湖音乐喷泉West Lake Music Fountain,45,90.0,西湖水上美轮美奂的音乐喷泉，夜游杭州的推荐选择。,14.0,120.167613,30.259639,534,0.03,西湖音乐喷泉,WestLakeMusicFountain
59,城市阳台City Balcony,4,94.0,位于钱江新城核心区，赏夜景、看灯光秀的绝佳观景台。,53.0,120.222775,30.246722,130,0.0,城市阳台,CityBalcony
60,千岛湖文渊狮城度假区（水下古城）Wenyuan Lion City Resort,6,80.0,,32.0,118.678015,29.478633,175,0.0,千岛湖文渊狮城度假区水下古城,WenyuanLionCityResort
61,指南村Zhinan Village,1,84.0,,,119.584444,30.367037,99,0.0,指南村,ZhinanVillage
62,"千岛湖中心湖区Thousand Island Lake, Central Lake Area",9,86.0,游览千岛湖首选，乘船登岛，领略千岛湖的山水锦绣。,65.0,119.019626,29.600571,1319,0.0,千岛湖中心湖区,ThousandIslandLakeCentralLakeArea
63,四岭水库Siling Reservoir,0,100.0,,,119.7926875711,30.4245033598,0,0.0,四岭水库,SilingReservoir
64,曲院风荷Quyuan Fenghe,76,92.0,杭州最著名的赏荷地，夏日荷花绽放非常漂亮，“西湖十景”之一。,36.0,120.139938,30.255795,774,0.18,曲院风荷,QuyuanFenghe
65,深澳古镇Shen'ao Ancient Town,2,90.0,,39.0,119.845322,29.856661,27,0.0,深澳古镇,ShenaoAncientTown
66,三天竺Three Tianzhu Temples,0,94.0,,,120.113256,30.242915,26,0.0,三天竺,ThreeTianzhuTemples
67,南屏晚钟Nanping Wanzhong Scenic Resort,41,90.0,敲净慈寺内青铜钟祈福许愿，西湖十景之一。,13.0,120.155615,30.235474,373,0.0,南屏晚钟,NanpingWanzhongScenicResort
68,青芝坞Qingzhiwu,33,90.0,带着一丝江南的灵动，潺潺流水间透露着杭州独有的烟火和文艺气。,11.0,120.126089,30.265392,189,0.01,青芝坞,Qingzhiwu
