景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率
石臼湖Shijiu Lake,3,94.0,,132.0,118.923946,31.475119,21,0.0
南京博物院Nanjing Museum,53,92.0,欣赏镇院之宝明鎏金藏式佛塔，来一场穿越之旅。,6.0,118.831617,32.046791,1723,0.09
夫子庙Confucius Temple,178,90.0,秦淮河风光带的标志性建筑，赏巨幅孔子画像、《孔子圣迹图》。,1.0,118.795273,32.026937,10800,0.52
中山陵景区Sun Yatsen Mausoleum,124,94.0,沿着长长的石阶墓道爬上中山陵顶，瞻仰一代伟人的雕像。,2.0,118.861444,32.059743,10686,0.61
牛首山文化旅游区Niushou Mountain Cultural Tourism Zone,6,94.0,朝拜礼佛的千年道场，感受佛教的历史文化。,47.0,118.754905,31.909151,972,0.0
南京总统府Presidential Palace of Nanjing,80,94.0,建筑中西合璧，漫步煦园寻找伟人的足迹。,4.0,118.803834,32.050564,9440,0.55
明孝陵Ming Xiaoling Mausoleum,84,92.0,沿曲折神道看浑厚的石雕，秋季金色银杏夹道，冬季到梅花山赏花。,8.0,118.841221,32.052625,4542,0.39
南京海底世界Nanjing Underwater World,1,90.0,在环形透明隧道中，观看惊心动魄的“人鲨共舞”，还有充满童话色彩的“美人鱼”表演。,2.0,118.851569,32.05934,1456,0.0
侵华日军南京大屠杀遇难同胞纪念馆The Memorial Hall of the Victims in Nanjing Massacre by Japanese Invaders,15,96.0,通过史料文物再现南京大屠杀史实，看万人坑遗址，铭记悲痛历史。,3.0,118.749854,32.040975,2209,0.33
老门东历史街区Laomendong Historic District,51,92.0,体现南京老城南民居街巷、市井传统风貌的历史街区。,10.0,118.794031,32.017998,1165,0.07
玄武湖景区Xuanwu Lake,93,92.0,中国最大皇家园林湖泊，坐船或漫步五洲赏湖，看春夏秋时令花卉。,16.0,118.803872,32.079619,4868,0.43
新街口Xinjiekou,0,94.0,,,118.792045,32.045929,352,0.0
秦淮河Qinhuai River,122,92.0,在游船舫中，听两岸乐声，赏沿岸美景，醉在那繁华盛世里。,14.0,118.755304,32.068474,931,0.36
栖霞山Qixia Mountain,23,92.0,欣赏栖霞寺精美的舍利塔和千佛岩石窟佛像，秋季拍摄漫山红叶。,42.0,118.976369,32.163868,1331,0.03
美龄宫Meiling Palace,31,94.0,覆盖琉璃瓦的精美建筑，富丽堂皇，欣赏内部豪华陈设。,20.0,118.85321,32.051265,690,0.04
鸡鸣寺Jiming Temple,63,88.0,南京古老的佛寺之一，春季赏樱，夏季登佛塔眺望玄武湖的荷花。,13.0,118.80157,32.067349,1421,0.25
瞻园Zhan Garden,46,92.0,南京现存最古老的园林，赏镇宅之宝虎字石碑，看太平天国文物。,18.0,118.791411,32.027215,1506,0.21
江苏园博园,0,84.0,,,119.010957,32.080921,3,0.0
朝天宫Chaotian Palace,14,90.0,欣赏红墙黄瓦的清代文庙建筑，在南京市博物馆看镇馆之宝青花梅瓶。,29.0,118.781816,32.04053,549,0.06
达摩古洞Damo Ancient Cave,0,86.0,,764.0,118.799837,32.136398,19,0.0
南京科技馆Nanjing Science and Technology Museum,3,90.0,了解科学科技发展，感受人文、艺术与科学知识的完美结合。,11.0,118.790275,31.992765,228,0.0
灵谷寺Linggu Si,0,90.0,,,118.874621,32.060891,23,0.0
南京1912街Nanjing 1912 Pub Street,21,88.0,具有典型文化意义的时尚休闲街区，也是南京夜生活的聚集地。,11.0,118.803278,32.052309,759,0.02
金牛湖野生动物王国Jinniu Lake Safari Park,0,84.0,,,118.972332,32.494819,45,0.0
钟山风景名胜区Zhongshan Mountain National Park,28,92.0,汇聚中山陵、明孝陵等南京必游景点，山道旁树木遮天，漫步其中感受不一样的南京。,31.0,118.857396,32.071503,1003,0.07
金陵小城·燕集里,0,86.0,,,118.728822,31.905804,1,0.0
老山国家森林公园Laoshan National Forest Park of Nanjing,1,88.0,有着“南京绿肺、江北明珠”之美誉。,46.0,118.607822,32.106567,145,0.0
乌衣巷Wuyi Lane,33,84.0,中国最著名巷之一，刘禹锡著名诗词“朱雀桥边野草花，乌衣巷口夕阳斜”说的正是这里。,9.0,118.796048,32.024985,539,0.21
中国科举博物馆(江南贡院)China Imperial Examination Museum (Jiangnan Gongyuan),27,94.0,中国古代规模最大的科举考场，也是南方地区开科取士之地。,27.0,118.797466,32.026877,1232,0.16
天生桥景区Tiansheng Bridge  Scenic Spot,2,88.0,天然氧吧，与大自然的亲密接触，放松身心的好去处。,532.0,118.995806,31.65111,152,0.0
浦口火车站旧址Pukou Railway Station,8,88.0,中国非常文艺的九个火车站其中之一。,39.0,118.728198,32.102497,217,0.02
江宁爱情隧道Jiangning Love Tunnel,6,86.0,铁路两旁繁茂浓密的树林，犹如一条绿色隧道，十分浪漫。,7.0,118.804307,31.85073,168,0.0
石塘竹海Shitang Bamboo Sea,1,84.0,回归自然必选之地，畅游南京“小九寨沟”。,24.0,118.698341,31.718202,51,0.0
大报恩寺遗址景区Grand Baoen Temple Heritage and Scenic Area,9,94.0,报恩圣地，感受寺庙文化，乃祈福佳选。,93.0,118.789543,32.015453,676,0.0
高淳老街Gaochun Old Street,7,86.0,被誉为“金陵第二夫子庙”，走明清老街，欣赏保存完好的徽派建筑。,30.0,118.87645,31.324514,267,0.0
雨花台Yuhuatai,24,90.0,曾是十万革命烈士殉难处，在此缅怀先烈，参观雨花石博物馆。,17.0,118.788107,32.00299,1050,0.18
南京长江大桥Nanjing Yangtze River Bridge,22,90.0,第一座完全由中国人建造的长江大桥，漫步桥面看车水马龙和长江。,36.0,118.7560235926,32.1162997152,664,0.1
南京大学Nanjing University,35,94.0,爬满绿藤的北大楼是一大标志，校园中的古建筑值得细细品味。,19.0,118.786078,32.061523,731,0.18
夫子庙秦淮风光带Confucius Temple Qinhuai River Scenery Belt,3,92.0,南京的标志性景区，参观夫子庙，乘船游秦淮河，吃美食，看夜景。,60.0,118.795956,32.026196,2937,0.0
德云社,1,86.0,南京德云社剧场位于南京市老门东步行街箍桶巷128号，是由郭德纲先生创立的北京德云社在南京建立的分社。剧场建筑为中式传统建筑，面积近1200平方米，可容纳观众260人左右。,6.0,118.793376,32.017189,8,0.0
漆桥古村落Qiqiao Ancient Village,1,84.0,,3.0,118.999088,31.381578,35,0.0
南京眼步行桥Nanjing Eye Pedestrian Bridge,2,96.0,,22.0,118.708978,32.001869,70,0.0
中华门瓮城Zhonghua Gate,25,92.0,游览瓮城中27个藏兵洞，体验古代军事防卫设施。,21.0,118.788199,32.019274,1113,0.15
六朝博物馆The Oriental Metropolitan Museum,9,92.0,展示六朝文物最全面的遗址博物馆，也是反映六朝文化最系统的专题博物馆。,32.0,118.805632,32.04937,508,0.01
南京城墙Nanjing City Wall,17,92.0,世界上现存最长、规模最大、保存原真性最好的古代城垣,23.0,118.81617,32.066256,392,0.01
红山森林动物园Hongshan Forest Zoo,3,92.0,小朋友的乐园，看镇园之宝红毛猩猩，观宠物园动物表演。,28.0,118.808139,32.098095,1416,0.0
南京将军山旅游风景区Nanjing Jiangjun Mountain Tourism Scenic Area,2,82.0,,116.0,118.778025,31.937082,131,0.0
栖霞寺Qixia Temple,9,88.0,中国四大名刹之一，唐朝的明征君碑、隋朝的舍利塔、南朝的千佛岩，精彩绝伦。,59.0,118.962196,32.156788,229,0.0
四方当代美术馆Sifang Contemporary Art Museum,1,80.0,,16.0,118.65079,32.11942,38,0.0
杨柳村古建筑群Ancient Buildings of Yangliu Village,1,78.0,,199.0,118.9336438199,31.8647212982,32,0.0
东南大学Southeast University,10,94.0,整体欧洲文艺复兴式建筑风格，也是电影《致青春》的取景地。,41.0,118.799899,32.061915,171,0.01
紫金山山顶公园Shanding Park,0,94.0,,1147.0,118.8482847091,32.0758631089,9,0.0
颐和路公馆区Yihe Road Residence Area,6,92.0,中国城市别墅区的经典之作，吸纳了各国的特色建筑，宛如一个国际住宅建筑展览馆。,55.0,118.776349,32.068715,140,0.01
明城墙公园The Ming Dynasty Wall Park,0,100.0,,,118.794225,32.075455,2,0.0
佛顶寺Foding  Palace,1,94.0,,734.0,118.756662,31.915423,18,0.0
江宁织造博物馆Jiangning Imperial Silk Manufacturing Museum,6,90.0,在这里可以了解不一样的“红楼梦”，还能看看什么是真正的江南云锦。,37.0,118.800496,32.048572,468,0.01
南京市博物馆Nanjing Municipal Museum,0,84.0,,,118.782203,32.040078,12,0.0
玄武门Xuanwu Gate,4,92.0,,627.0,118.79062,32.076326,160,0.0
熙南里Xi Nanli Parking Lot,1,90.0,,336.0,118.7878272396,32.0310797837,43,0.0
紫金山天文台Purple Mountain Observatory,2,88.0,中国现代天文机构鼻祖，明清天文仪器很精美。,106.0,118.835738,32.071496,338,0.11
无想水镇,0,70.0,,,119.0398543993,31.6290080491,0,0.0
紫霞湖Zixia Lake,5,88.0,湖水静谧，适合避暑、散步，是一片休闲“秘境”。,1166.0,118.849969,32.065826,171,0.0
石山下村Shishanxia Village,0,90.0,,372.0,119.065952,31.515513,8,0.0
周园,0,66.0,周园位于南京市溧水区白马镇，是中国最大的私人收藏馆，由英籍华人周贺桐先生建设，占地面积100多亩，形之吉祥之“如意”，由周园、文化艺术展示中心及徽文化精品体验中心三部分组成。,104.0,119.19814,31.634716,16,0.0
中山码头Zhongshan Ferry Terminal,5,92.0,充满浓郁民国风情的码头，文艺青年和摄影爱好者的聚集地。,4.0,118.7401,32.093342,103,0.0
龙王山风景区,0,60.0,,1176.0,118.7200046345,32.2049803086,0,0.0
南京古生物博物馆Nanjing Paleontology Museum,1,90.0,了解地球和生命演化历史的故事，启发对自然历史的兴趣和认识。,131.0,118.801606,32.066006,103,0.0
阅江楼Yuejiang Tower,9,94.0,登阅江楼眺望南京长江大桥和滚滚长江，日落时景色尤其美。,26.0,118.753125,32.099745,1304,0.04
中山植物园Nanjing Zhongshan Botanical Garden,5,90.0,中国四大植物园之一，明城墙环绕，11月底可在红枫岗赏枫。,92.0,118.837679,32.060434,299,0.01
宝卡湖,0,100.0,,,119.0007328686,32.0083011672,0,0.0
侯冲风景区Houchong Sceneic Area,2,84.0,,736.0,118.567341,32.136767,15,0.0
珍珠泉风景区Pearl Spring Scenic Area,1,90.0,欣赏碧绿清澈的珍珠泉，爬长城挑战自我，观看动物园的精彩表演。,151.0,118.6694507436,32.1306464601,571,0.0
鼓楼Drum Tower,5,88.0,感受古时报时文化，品味历史，还可登楼欣赏秦淮美景。,49.0,118.788485,32.064864,251,0.1
梅园新村纪念馆Meiyuan Xincun Memorial Hall,1,90.0,品味复古风情建筑，参观各式纪念馆。,81.0,118.808153,32.048913,141,0.02
圣保罗教堂St. Paul's Church,4,94.0,,71.0,118.79705,32.035992,64,0.0
金牛湖风景区Jinniu Lake,3,84.0,南京市最大的人工湖泊，被称为“江北第一景”。,89.0,118.975246,32.47569,171,0.0
南京云锦博物馆Nanjing Yunjin Museum,1,88.0,中国唯一的云锦专业博物馆，欣赏1500多年手工织造历史的南京云锦。,6.0,118.7514,32.042043,172,0.01
南京明故宫遗址公园Ruins of the Ming Palace,9,84.0,原明朝皇宫的所在地，现只剩下地下埋藏的石构件，但依然能窥见当年皇宫的雄伟。,24.0,118.824416,32.047681,357,0.01
南京理工大学Nanjing University of Science and Technology,4,94.0,,246.0,118.863225,32.031429,175,0.0
止马岭风景区Zhimaling Sceneic Area,0,88.0,,,118.5906320292,32.5765443472,4,0.0
乡伴苏家文创小镇,0,0.0,典型的江南农家乐庄,,118.732793,31.809898,0,0.0
汤山矿坑公园Tangshankuangkeng Park,0,88.0,,,119.045561,32.044703,39,0.0
百家湖美术馆Baijiahu Gallery,0,90.0,,338.0,118.814027313,31.945984288,7,0.0
南京国防园Nanjing National Defense Park,0,92.0,,544.0,118.761335,32.057966,67,0.0
莫愁湖景区Mochou Lake Park,11,84.0,了解莫愁女的凄清故事，漫步河畔、园林建筑间，春赏海棠夏赏荷。,45.0,118.767697,32.042376,700,0.11
江心洲Jiangxin Continent,1,90.0,,120.0,118.703644,32.014231,21,0.0
大金山Gold Mountain,0,86.0,,253.0,119.124897,31.701949,49,0.0
蒋介石温泉别墅Chiang Kai-shek Hot Spring Villa,1,88.0,,4.0,119.070108,32.059347,38,0.0
无想山Wuxiang Mountain,0,90.0,,,119.032355,31.615588,3,0.0
不老村Long Life Village,0,86.0,,,118.616498,32.098005,20,0.0
甘家大院Ganjia Courtyard,3,92.0,,40.0,118.788467,32.032443,190,0.01
南京长江大桥公园Nanjing Yangtze River Bridge Park,1,86.0,,66.0,118.758692,32.115443,162,0.0
河海大学Hohai University,2,94.0,,268.0,118.76578,32.061096,63,0.0
胭脂河Rouge River,1,92.0,,133.0,118.99019,31.648413,41,0.0
固城遗址Gucheng Ruins,1,76.0,,291.0,118.9903700829,31.3163719177,9,0.0
水街Shui Street,1,92.0,,2350.0,118.802187,32.020797,25,0.0
大塘金香草谷Datangjin Herb Valley,0,80.0,,,118.737735,31.854229,0,0.0
T.G salonT.G salon,0,0.0,,,118.900182668,31.8941664937,0,0.0
紫峰大厦观光层Zifeng Tower,1,90.0,站在南京最高的地方，俯瞰南京美景，是非常好的城市观景点。,72.0,118.789719,32.066918,129,0.0
丁香园,0,0.0,,594.0,118.787671,32.00254,0,0.0
黄龙岘金陵茶文化旅游村,1,90.0,,181.0,118.6976880385,31.786187218,3,0.0
方山风景旅游度假区Fang Mountain Scenic Resort,1,90.0,,1124.0,118.882102,31.901793,66,0.0
中山陵音乐台,6,78.0,纪念孙中山先生仪式时的音乐表演及集会演讲。,152.0,118.861552763,32.0614649177,61,0.05
南京林业大学Nanjing Forestry University,2,92.0,,368.0,118.823369,32.085309,100,0.0
南唐二陵Nan Tang er Ling,1,78.0,,302.0,118.744832,31.893164,72,0.0
颠倒博物馆(南京店),0,0.0,,,118.785551,32.047807,0,0.0
汤山涵田·臻温泉,0,88.0,,,119.0639,32.051817,0,0.0
紫清湖野生动物世界,0,92.0,,,119.045848,32.06965,0,0.0
佘村水库Shecun Reservoir,0,0.0,,,118.9329803858,31.9795757146,0,0.0
下关火车主题园Xiaguan Train Theme Park,0,96.0,,,118.7504584176,32.109559988,4,0.0
观音阁Guanyin Pavilion,0,90.0,,,118.820114,32.150519,1,0.0
南京国际画家村Nanjing International Painters’ Village,0,72.0,,,118.8080197815,32.3055696191,3,0.0
无想寺Wuxiang Temple,1,86.0,,467.0,119.037525,31.601763,9,0.0
南京大学鼓楼校区,2,90.0,南京大学鼓楼校区是南大的老校区，建筑多为独特的民国风格。,87.0,118.786078,32.061531,12,0.0
南京保利大剧院Poly Grand Theatre,2,94.0,,690.0,118.714052,31.997675,63,0.0
国立美术馆旧址National Museum of Art Former Site,0,86.0,,981.0,118.800036,32.050327,26,0.0
南京航空航天大学Nanjing University of Aeronautics and Astronautics(Minggugong Campus),3,94.0,,1219.0,118.8242924098,32.0385627747,99,0.0
鱼嘴湿地公园,2,60.0,南京鱼嘴湿地公园位于南京市建邺区河西新城最南端，长江、夹江、秦淮新河三水交汇处。,1223.0,118.667737,31.975373,2,0.0
