,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,中文名,英文名
0,上海迪士尼度假区Shanghai Disney Resort,73,94.0,中国大陆首座迪士尼度假区，身临其境地感受神奇王国。,1.0,121.671964,31.148267,33374,0.03,上海迪士尼度假区,ShanghaiDisneyResort
1,上海海洋水族馆Shanghai Ocean Aquarium,17,92.0,观赏各种海洋生物，漫步海底隧道，感受五彩缤纷的海底世界。,1.0,121.508642,31.246459,5244,0.03,上海海洋水族馆,ShanghaiOceanAquarium
2,上海海昌海洋公园Shanghai Haichang Ocean Park,0,92.0,,,121.910782,30.920947,1944,0.0,上海海昌海洋公园,ShanghaiHaichangOceanPark
3,长兴岛Changxing Island,1,84.0,,151.0,121.740589,31.385953,134,0.0,长兴岛,ChangxingIsland
4,武康路Wukang Road,30,94.0,14处优秀历史建筑，电影《色戒》中王佳芝与易先生最后幽会的地点。,55.0,121.4463595607,31.213621164,439,0.01,武康路,WukangRoad
5,朱家角古镇景区Zhujiajiao Ancient Town Scenic Area,9,88.0,上海周边游览古镇的首选之地，在青砖白墙间感受水乡的静谧。,1.0,121.0603616306,31.1159338962,2447,0.02,朱家角古镇景区,ZhujiajiaoAncientTownScenicArea
6,外滩The Bund,466,96.0,身倚浦西漫步十里洋场，隔江对望浦东繁华陆家嘴。,2.0,121.4987359133,31.2391219237,48999,0.52,外滩,TheBund
7,太阳岛旅游度假区Sun Island,1,88.0,,11.0,121.079387,31.043011,136,0.0,太阳岛旅游度假区,SunIsland
8,蔡浜村Caibang Village,0,80.0,,,120.953336,31.122277,0,0.0,蔡浜村,CaibangVillage
9,横沙岛Hengsha Island,1,92.0,,647.0,121.860605,31.342956,80,0.0,横沙岛,HengshaIsland
10,广富林文化遗址Guangfulin Relics Park,2,92.0,,32.0,121.2037403917,31.0689421665,522,0.0,广富林文化遗址,GuangfulinRelicsPark
11,东方明珠Oriental Pearl Radio & Television Tower,222,92.0,在259米高的全透明观光廊上，360度欣赏申城夜景。,1.0,121.5064146572,31.2453018761,47360,0.29,东方明珠,OrientalPearlRadioTelevisionTower
12,田子坊Tianzifang,216,88.0,穿梭在上海小弄堂里，逛逛复古小店和文人工作室。,3.0,121.474974,31.214113,3414,0.29,田子坊,Tianzifang
13,上海海湾国家森林公园Shanghai Haiwan National Forest Park,2,88.0,烧烤、骑马、骑单车，赏梅赏荷观鸟好去处。,249.0,121.6970688369,30.867699394,1128,0.0,上海海湾国家森林公园,ShanghaiHaiwanNationalForestPark
14,上海城隍庙道观City God Temple of Shanghai,217,92.0,位于市中心的著名道观，是历史悠久的祈福胜地。,4.0,121.499034,31.231472,2101,0.37,上海城隍庙道观,CityGodTempleofShanghai
15,上海野生动物园Shanghai Wild Animal Park,7,94.0,与世界各地的动物亲密接触，体验亲手投食给羊驼的乐趣。,9.0,121.727995,31.06138,23138,0.0,上海野生动物园,ShanghaiWildAnimalPark
16,静安寺Jing'an Temple,26,90.0,东部地区少见的融入藏式建筑风格的寺庙，闹市中的有名古刹。,38.0,121.451595,31.229947,890,0.05,静安寺,JinganTemple
17,金山城市沙滩Jinshan City Beach,2,86.0,上海市内为数不多的海滨沙滩之一，玩沙子、海里游泳，尽情在海边撒欢。,73.0,121.355903,30.714121,590,0.0,金山城市沙滩,JinshanCityBeach
18,泰晤士小镇Thames Town,5,90.0,教堂、城堡、桥廊，充斥着英伦风情，婚纱写真取景胜地。,1.0,121.204571,31.040178,989,0.01,泰晤士小镇,ThamesTown
19,上海博物馆Shanghai Museum,50,92.0,观赏西周大克鼎、唐朝《高逸图》，还有众多青铜陶瓷和书画。,14.0,121.482358,31.234149,2402,0.11,上海博物馆,ShanghaiMuseum
20,中新泾公园Zhongxinjing Park,0,88.0,,,121.372442,31.208113,25,0.0,中新泾公园,ZhongxinjingPark
21,上海共青森林公园Gongqing National Forest Park,4,92.0,离市区最近的森林公园，踏青秋游、烧烤野营、骑马射箭好去处。,244.0,121.557183,31.325266,972,0.0,上海共青森林公园,GongqingNationalForestPark
22,1933老场坊1933 Old Millfun,47,90.0,由宰牲场改造的创意园区，时尚餐厅、奢牌秀场汇聚于此。,17.0,121.49833,31.260148,848,0.04,老场坊,OldMillfun
23,上海天文馆Shanghai Planetarium,0,84.0,,,121.932414,30.918563,2,0.0,上海天文馆,ShanghaiPlanetarium
24,豫园Yu Garden,183,94.0,市区留存完好的江南古典园林，亭台楼阁雕梁画栋。,7.0,121.49909,31.232431,10378,0.33,豫园,YuGarden
25,上海科技馆Shanghai Science and Technology Museum,31,94.0,上海最大的科普教育殿堂，体验各种模拟项目，感受科幻场景。,6.0,121.547781,31.224611,6813,0.04,上海科技馆,ShanghaiScienceandTechnologyMuseum
26,上海环球金融中心Shanghai World Financial Center,48,94.0,登474米高的透明观光厅，平视东方明珠的尖顶、俯瞰全上海。,8.0,121.51346,31.239657,5336,0.12,上海环球金融中心,ShanghaiWorldFinancialCenter
27,上海自然博物馆Shanghai Natural History Museum,14,96.0,展品十分丰富，“黄河古象”“马门溪龙”是镇馆之宝。,12.0,121.469143,31.241221,2153,0.01,上海自然博物馆,ShanghaiNaturalHistoryMuseum
28,金山嘴渔村Jinshanzui Fishing Village,1,86.0,,2742.0,121.382644,30.738368,210,0.0,金山嘴渔村,JinshanzuiFishingVillage
29,南京路步行街Nanjing Road Pedestrian Street,0,94.0,现代建筑夹杂着欧式老楼，竖挂的店铺灯箱连绵不绝。,,121.4907,31.243231,12224,0.0,南京路步行街,NanjingRoadPedestrianStreet
30,枫泾古镇Fengjing Ancient Town,9,86.0,被誉为“吴越名镇”，游览水乡风貌，欣赏乡村农民画作。,42.0,121.022096,30.893168,821,0.0,枫泾古镇,FengjingAncientTown
31,上海之巅观光厅Top of Shanghai Observatory,1,94.0,上海最高的观光厅，360度全视角欣赏上海魅力全景，实乃上海之巅。,70.0,121.512114,31.239112,1228,0.0,上海之巅观光厅,TopofShanghaiObservatory
32,东平国家森林公园Dongping National Forest Park,2,90.0,去环园骑行、滑草、露营，在森林中自助烧烤也很有野趣。,2.0,121.486723,31.689489,1513,0.0,东平国家森林公园,DongpingNationalForestPark
33,淀山湖风景区Dianshan Lake Scenic Spot,1,86.0,上海最大的天然淡水湖泊，也是母亲河黄浦江的源头，风光秀丽。,246.0,121.019202,31.135379,213,0.0,淀山湖风景区,DianshanLakeScenicSpot
34,青西郊野公园Qingxi Country Park,1,86.0,,2383.0,121.014809,31.064508,107,0.0,青西郊野公园,QingxiCountryPark
35,湖心岛公园,0,0.0,,,121.506256,30.938015,0,0.0,湖心岛公园,
36,崇明岛国家地质公园Chongming Island National Geopark,2,94.0,赏日出日落、观候鸟，是上海城郊环境优美的度假之处。,39.0,121.237953,31.732695,220,0.0,崇明岛国家地质公园,ChongmingIslandNationalGeopark
37,滴水湖Dishui Lake,9,88.0,俯瞰像一个圆形水滴的人工湖，适合上海及周边游客周末自驾。,111.0,121.9482005048,30.8986923401,498,0.0,滴水湖,DishuiLake
38,东滩湿地公园Dongtan Wetland Park,6,84.0,漫步于植被丰富的湿地栈道，是观日出和自然摄影的胜地。,1.0,121.955977,31.52401,521,0.0,东滩湿地公园,DongtanWetlandPark
39,上海中心大厦Shanghai Tower,8,94.0,中国第一、世界第二高楼，在118层观光厅欣赏上海城市美景。,9.0,121.512,31.239168,559,0.0,上海中心大厦,ShanghaiTower
40,上海汽车博物馆Shanghai Automobile Museum,4,94.0,观赏各种品牌的古董车，了解汽车发展史，体验模拟驾驶。,28.0,121.1766998633,31.2846949817,857,0.0,上海汽车博物馆,ShanghaiAutomobileMuseum
41,上海影视乐园Shanghai Film Park,3,88.0,老上海影视拍摄地，坐有轨电车或黄包车，体验时光倒流。,2.0,121.319246,31.016544,1907,0.01,上海影视乐园,ShanghaiFilmPark
42,马勒别墅Hengshan Moller Villa Hotel,14,92.0,浪漫华丽的挪威城堡式建筑，室内装修却又不失中国风情。,18.0,121.462784,31.229144,673,0.03,马勒别墅,HengshanMollerVillaHotel
43,东方绿舟Oriental Land,1,92.0,适合休闲郊游、素质拓展的大型公园。,578.0,121.017139,31.114697,1110,0.0,东方绿舟,OrientalLand
44,魔都矩阵Magic Jungle,0,88.0,,,121.504804,31.252651,18,0.0,魔都矩阵,MagicJungle
45,新天地Xintiandi,3,92.0,上海新地标之一，夜晚穿梭于各个露天酒吧，体验夜上海生活。,59.0,121.4812442093,31.2271646118,1409,0.0,新天地,Xintiandi
46,南汇新城海滩Nanhuixincheng Beach,0,88.0,,,121.945726,30.871676,9,0.0,南汇新城海滩,NanhuixinchengBeach
47,淀山湖大道风景区Dianshanhu Dadao Sceneic Area,0,86.0,,844.0,121.0558151016,31.1348304595,7,0.0,淀山湖大道风景区,DianshanhuDadaoSceneicArea
48,周浦花海Zhoupu Sea of Flowers,1,86.0,不用远赴海外，在沪上就能观赏到异国花海。,397.0,121.650622,31.125903,329,0.0,周浦花海,ZhoupuSeaofFlowers
49,1192弄老上海风情街1192 Nong Laoshanghai Fengqing Street,0,92.0,,,121.532799,31.234083,134,0.0,弄老上海风情街,NongLaoshanghaiFengqingStreet
50,前滩休闲公园Qiantan Leisure Park,0,92.0,,2415.0,121.471909,31.156611,53,0.0,前滩休闲公园,QiantanLeisurePark
51,七宝古镇Qibao Ancient Town,19,88.0,,13.0,121.361199,31.158938,375,0.05,七宝古镇,QibaoAncientTown
52,南汇嘴观海公园Nanhuizui Guanhai Park,4,86.0,,116.0,121.978055,30.886412,127,0.0,南汇嘴观海公园,NanhuizuiGuanhaiPark
53,中华艺术宫China Art Museum,51,90.0,原上海世博会中国国家馆，观赏镇馆之宝——多媒体版《清明上河图》。,33.0,121.501334,31.189988,880,0.01,中华艺术宫,ChinaArtMuseum
54,召稼楼Zhaojialou Ancient Town,2,88.0,坐摇橹船游水巷，去礼园解读召稼楼历史文化。,75.0,121.555614,31.080923,622,0.0,召稼楼,ZhaojialouAncientTown
55,思南路Sinan Road,24,92.0,漫步思南路，细赏风格迥异的花园洋房，感受老上海的悠悠历史。,88.0,121.476539,31.216219,399,0.02,思南路,SinanRoad
56,上海薰衣草公园Momchilovtsi Herb Garden,1,94.0,,1741.0,121.681945,31.147702,294,0.0,上海薰衣草公园,MomchilovtsiHerbGarden
57,迪士尼小镇Disneytown,20,94.0,美食、购物一应俱全，华特迪士尼大剧院坐落于此。,2.0,121.668349,31.145926,1173,0.0,迪士尼小镇,Disneytown
58,息焉堂,0,90.0,,199.0,121.373575,31.210573,8,0.0,息焉堂,
59,长兴岛郊野公园Changxing Island Country Park,1,84.0,,5.0,121.720774,31.406121,135,0.0,长兴岛郊野公园,ChangxingIslandCountryPark
60,佘山国家森林公园Sheshan National Forest Park,2,90.0,上海高峰所在地，佘山天文台是看天文奇观的好去处。,5.0,121.201907,31.100768,489,0.0,佘山国家森林公园,SheshanNationalForestPark
61,奉贤渔人码头Fisherman's Wharf,1,84.0,,267.0,121.526715,30.819689,21,0.0,奉贤渔人码头,FishermansWharf
62,西沙明珠湖景区Xisha Mingzhu Lake Park,2,90.0,,6.0,121.2634927397,31.7438824857,237,0.0,西沙明珠湖景区,XishaMingzhuLakePark
63,碧海金沙Bihai Jinsha Beach,1,90.0,上海最大的“人造”沙滩，沙子细软，不出上海也能与大海亲密接触！,51.0,121.582948,30.831425,689,0.0,碧海金沙,BihaiJinshaBeach
64,威尼斯小镇Venice Town,0,94.0,,,121.3840526447,31.2364402715,20,0.0,威尼斯小镇,VeniceTown
65,人民广场People's Square,88,94.0,名副其实的上海地标和交通枢纽，在广场上喂鸽子看喷泉。,26.0,121.481144,31.235297,1903,0.13,人民广场,PeoplesSquare
66,州桥老街Zhouqiao Old Street,1,90.0,,680.0,121.257881,31.389981,167,0.0,州桥老街,ZhouqiaoOldStreet
67,上海当代艺术博物馆Power Station of Art,8,90.0,发电厂房改造的博物馆，也是上海双年展的主场馆。可参观各种前卫艺术品。,98.0,121.505082,31.206746,246,0.0,上海当代艺术博物馆,PowerStationofArt
68,老上海1930风情街Laoshanghai 1930 Fengqing Street,2,84.0,,44.0,121.482317,31.237426,211,0.0,老上海风情街,LaoshanghaiFengqingStreet
69,陆家嘴Lujiazui,86,94.0,举世闻名的金融中心，乐园和大型商场众多。,15.0,121.508984,31.243812,1300,0.02,陆家嘴,Lujiazui
70,青浦岑卜村Cenbocun,0,92.0,,1798.0,120.949015,31.06539,3,0.0,青浦岑卜村,Cenbocun
71,金山公园,0,0.0,,,121.168962672,30.8979034763,0,0.0,金山公园,
