,Unnamed: 0,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,中文名,英文名,属地
0,0,太平山顶The Peak,92,90.0,香港代表性景点，搭乘复古缆车抵达山顶，可俯瞰维港美景、参观蜡像馆。,4.0,114.1700555291,22.2663926289,6371,0.46,太平山顶,ThePeak,香港
1,1,维多利亚港Victoria Harbour,135,92.0,“世界三大夜景”之一，港岛、九龙两岸繁华尽收眼底，还可赏幻彩灯光秀。,3.0,114.182851,22.296079,3872,0.46,维多利亚港,VictoriaHarbour,香港
2,2,旺角Mong Kok,100,86.0,旺角既是数码、美妆、潮流购物集中地，也能感受老香港市井风貌。,7.0,114.181693,22.317556,1386,0.14,旺角,MongKok,香港
3,3,星光大道Avenue of Stars,89,88.0,见证香港电影业发展史，星光熠熠，还可欣赏维港璀璨夜景。,14.0,114.185298,22.295925,2231,0.46,星光大道,AvenueofStars,香港
4,4,庙街Temple Street,36,84.0,港式风情街，这里有夜市摊位、海鲜排挡、街头卖艺、算命摊，市井气息浓厚。,6.0,114.181943,22.311087,592,0.19,庙街,TempleStreet,香港
5,5,南丫岛Lamma Island,39,90.0,离岛游首选，在如画景色间悠闲徒步，逛文艺小店、淳朴渔村，尝海鲜大餐。,11.0,114.146612,22.203538,1279,0.08,南丫岛,LammaIsland,香港
6,6,黄大仙祠Wong Tai Sin Temple,28,88.0,香火旺盛的庙宇，建筑古典华丽，黄大仙相传“有求必应”，还可求签占卜。,19.0,114.204862,22.345498,831,0.1,黄大仙祠,WongTaiSinTemple,香港
7,7,香港杜莎夫人蜡像馆Madame Tussauds Hong Kong,28,92.0,源自英国的蜡像馆，位于山顶，蜡像造型逼真，可近距离与自己喜爱的名人合影。,10.0,114.161289,22.274374,1869,0.2,香港杜莎夫人蜡像馆,MadameTussaudsHongKong,香港
8,8,浅水湾Repulse Bay,15,88.0,香港知名的美丽海滩，坡缓滩长，水清沙细，也是香港富豪聚居区。,26.0,114.207827,22.239829,772,0.09,浅水湾,RepulseBay,香港
9,9,铜锣湾Causeway Bay,96,86.0,繁忙的商业区，大到时代广场，小到街边莎莎，可满足任何人的购物需求。,15.0,114.195464,22.283203,915,0.14,铜锣湾,CausewayBay,香港
10,10,大屿山Lantau Island,38,90.0,古朴渔村、超大outlets、迪士尼乐园、禅寺大佛，大屿山包罗万象。,22.0,113.953172,22.269193,1064,0.05,大屿山,LantauIsland,香港
11,11,长洲岛Cheung Chau,18,90.0,长洲岛的海鲜大排档人气颇高，还可沙滩戏水观日落，海堤骑行赏美景。,8.0,114.038047,22.204856,719,0.01,长洲岛,CheungChau,香港
12,12,中银大厦Bank of China Tower,3,88.0,维港边的标志性建筑，贝聿铭事务所设计，形如竹子寓意“节节高升”。,188.0,114.173101,22.282275,272,0.0,中银大厦,BankofChinaTower,香港
13,13,石澳Shek O,14,92.0,水清沙幼的海滩，这里有绝妙的悬崖峭壁和刺激的山脊小路。,13.0,114.254427,22.245023,440,0.01,石澳,ShekO,香港
14,14,重庆大厦Chungking Mansions,1,78.0,因《重庆森林》而出名，三教九流各色人种混杂聚居，港式多元文化的代表。,,114.184294,22.299438,281,0.0,重庆大厦,ChungkingMansions,香港
15,15,庙街夜市Temple Street Night Market,1,88.0,《新不了情》、《食神》拍摄地，有名的“男人街”和“平民夜总会”。,30.0,114.181943,22.311087,252,0.0,庙街夜市,TempleStreetNightMarket,香港
16,16,尖沙咀Tsim Sha Tsui,36,92.0,维港岸边的购物天堂和文化中心，白天购物逛展馆、夜晚赏景漫步享美食。,270.0,114.183685,22.301725,4375,0.0,尖沙咀,TsimShaTsui,香港
17,17,中环Central,43,88.0,政商中心，高楼大厦尽显都市风采，美食购物夜生活应有尽有。,37.0,114.170646,22.284725,2490,0.15,中环,Central,香港
18,18,香港海洋馆,3,90.0,探索犹如印度太平洋珊瑚环礁的海洋生态，与成千上万的鱼类擦身而过,62.0,114.1796148405,22.2425989602,9,0.02,香港海洋馆,,香港
19,19,山顶缆车The Peak Tram,31,88.0,最富有港味的交通方式，小火车外观复古，45度倾斜体验，必游景点。,1.0,114.170698,22.280696,960,0.04,山顶缆车,ThePeakTram,香港
20,20,大浪湾Big Wave Bay,6,88.0,,115.0,114.2614669573,22.2487776298,31,0.0,大浪湾,BigWaveBay,香港
21,21,坚尼地城Kennedy Town,0,0.0,,,114.145610037,22.282246089,0,0.0,坚尼地城,KennedyTown,香港
22,22,东龙洲石刻Rock Carving on Tung Lung Chau,0,80.0,,,114.2941940108,22.2559184489,5,0.0,东龙洲石刻,RockCarvingonTungLungChau,香港
23,23,天星码头Star Ferry Pier,4,94.0,在天星码头搭乘天星小轮，饱览维港海上风光。,66.0,114.180124,22.296703,294,0.0,天星码头,StarFerryPier,香港
24,24,蒲台Po Toi,1,88.0,棺材石、佛手巖、灵龟上山、巫氏废宅等旅游点和香港法定古迹蒲台岛石刻。,267.0,114.2711109947,22.1725231297,59,0.0,蒲台,PoToi,香港
25,25,东涌Tung Chung,12,84.0,环山临海惬意漫步，拜访炮台、侯王庙历史古迹。,83.0,113.952763,22.291765,264,0.0,东涌,TungChung,香港
26,26,天坛大佛Tian Tan Buddha,15,92.0,全球第二大青铜坐佛，香火繁盛，展览馆内供奉佛祖真身舍利。,58.0,113.916341,22.25696,190,0.04,天坛大佛,TianTanBuddha,香港
27,27,大澳Tai O,11,88.0,原始渔村，棚屋、古庙、渔家美味，感受繁华都市的另一面。,81.0,113.867207,22.26153,643,0.01,大澳,TaiO,香港
28,28,尖沙咀海滨花园Tsim Sha Tsui Promenade,7,92.0,尖沙咀滨海大道，近距离感受维港风采，沿途景点众多，景观开阔。,65.0,114.189807,22.300218,182,0.0,尖沙咀海滨花园,TsimShaTsuiPromenade,香港
29,29,兰桂坊Lan Kwai Fong,35,88.0,夜生活殿堂地，酒吧街人头攒动，或畅饮聊天，或尽情热舞，越夜越热闹。,12.0,114.16721,22.283945,1015,0.19,兰桂坊,LanKwaiFong,香港
30,30,金紫荆广场Golden Bauhinia Square,22,86.0,巨大的金色紫荆花铜像，是香港回归的标志性建筑，可观看庄严的升降旗仪式。,29.0,114.185407,22.287335,1032,0.19,金紫荆广场,GoldenBauhiniaSquare,香港
31,31,西贡Sai Kung,13,88.0,新界东部“山和海相遇的地方”，拥有迷人海滩、新鲜海鲜大餐，还可乘船出海。,44.0,114.2711206179,22.320306778,439,0.01,西贡,SaiKung,香港
32,32,香港大学The University of Hong Kong,19,92.0,人文气息浓郁，建筑复古，漫步其中回味校园生活。,18.0,114.1486,22.286457,650,0.06,香港大学,TheUniversityofHongKong,香港
33,33,赤柱Stanley Market,16,88.0,来赤柱漫步海滩、冲浪烧烤，流连欧式古建和中式庙宇，穿梭市集后在酒吧放松。,34.0,114.223652,22.222606,652,0.03,赤柱,StanleyMarket,香港
34,34,弥敦道Nathan Road,18,90.0,九龙地区主干道，连接旺角及尖沙咀，两边商铺、食肆林立，港味十足。,23.0,114.182468,22.314649,256,0.01,弥敦道,NathanRoad,香港
35,35,砵甸乍街Pottinger Street,2,86.0,石板是一条历史悠久的老街，是TVB多次取景之地，摄影爱好者常去的取景地。,143.0,114.166479,22.285513,141,0.0,砵甸乍街,PottingerStreet,香港
36,36,香港叮叮车Hong Kong Tramways,19,96.0,叮叮车是目前全世界唯一的双层有轨电车，行驶路线途径香港最繁华的商业中心。,11.0,114.148009,22.290298,61,0.01,香港叮叮车,HongKongTramways,香港
37,37,愉景湾Discovery Bay,1,90.0,环境怡人的海岸居住区，一边享受美食，一边欣赏海天一色。,13.0,114.021598,22.295591,73,0.0,愉景湾,DiscoveryBay,香港
38,38,吉庆围Kat Hing Wai,1,78.0,在吉庆围城门口欣赏历史感浓厚的铁门。 到吉庆围城外游览保存完好的城墙、碉堡、炮楼。,234.0,114.0760580243,22.4427003132,49,0.0,吉庆围,KatHingWai,香港
39,39,香港故宫文化博物馆Hong Kong Palace Museum,0,100.0,,,114.1672298114,22.3046531173,0,0.0,香港故宫文化博物馆,HongKongPalaceMuseum,香港
40,40,香港迪士尼乐园铁路,0,96.0,,,114.0607132429,22.3201576431,0,0.0,香港迪士尼乐园铁路,,香港
41,41,龙园,0,0.0,,,114.0183394156,22.4642502237,0,0.0,龙园,,香港
42,42,海洋公园老大街,0,0.0,,,114.184282028,22.2351616866,0,0.0,海洋公园老大街,,香港
43,43,梧桐寨瀑布,0,0.0,,,114.142708,22.4267,0,0.0,梧桐寨瀑布,,香港
44,44,珀丽湾Park Island,0,80.0,,,114.067766,22.358161,0,0.0,珀丽湾,ParkIsland,香港
45,45,香港公开大学The Open University of Hong Kong,0,0.0,,,114.1933663953,22.3194017489,0,0.0,香港公开大学,TheOpenUniversityofHongKong,香港
46,46,桥咀洲Sharp Island,1,88.0,CNN旅游网站点评：9个被低估的亚洲景点之一。,454.0,114.3054346795,22.3660543466,38,0.0,桥咀洲,SharpIsland,香港
47,47,睡美人城堡Sleeping Beauty Castle,4,100.0,睡公主城堡把迪士尼动画《睡美人》的城堡带到现实中，穿过这个童话式堡垒的大门，您便正式踏入幻想世界，奇妙旅程也随即展开！,215.0,114.051817,22.314804,11,0.0,睡美人城堡,SleepingBeautyCastle,香港
48,48,万宜水库High Island Reservoir,6,90.0,,563.0,114.383801,22.368384,38,0.0,万宜水库,HighIslandReservoir,香港
49,49,香港理工大学The Hong Kong Polytechnic University,2,92.0,亚洲有名的高等学府，1994年正式更名，是全港历史悠久的大学之一。,145.0,114.190824,22.307476,43,0.0,香港理工大学,TheHongKongPolytechnicUniversity,香港
50,50,天际100香港观景台Sky100 Observation Deck,4,92.0,环贸100层，知名室内观景台，360度俯瞰维港、九龙、港岛美景。,23.0,114.171764,22.306404,880,0.02,天际香港观景台,SkyObservationDeck,香港
51,51,尖沙咀钟楼Former Kowloon-Canton Railway Clock Tower,9,88.0,广九铁路旧尖沙咀站遗迹，紧邻维港，留念必去。,32.0,114.1901872751,22.3008281984,342,0.08,尖沙咀钟楼,FormerKowloonCantonRailwayClockTower,香港
52,52,通菜街Tung Choi Street,18,80.0,远近闻名的女人购物街，汇集逾百个地摊的露天市集。,20.0,114.182211,22.321677,281,0.16,通菜街,TungChoiStreet,香港
53,53,心经简林Wisdom Path,4,84.0,,290.0,113.9233379193,22.2553669629,40,0.0,心经简林,WisdomPath,香港
54,54,宝莲寺Po Lin Monastery,7,88.0,香港四大禅林之一，四面群山环抱，峰峦起伏，景色迷人。,167.0,113.9187682783,22.2585562296,238,0.02,宝莲寺,PoLinMonastery,香港
55,55,香港会议展览中心Hong Kong Convention and Exhibition Centre,7,90.0,坐瞰美丽的维多利亚港，每年都会举办种类丰富的展览。,77.0,114.184667,22.286194,451,0.09,香港会议展览中心,HongKongConventionandExhibitionCentre,香港
56,56,凌霄阁Peak Tower,18,88.0,摩天台428饱览香港美景，蜡像馆内与名人合影，各式餐厅饱口福。,60.0,114.161218,22.274545,558,0.17,凌霄阁,PeakTower,香港
57,57,南生围Nam Sang Wai,3,88.0,,218.0,114.0500331149,22.4652642904,30,0.0,南生围,NamSangWai,香港
58,58,白泥Pak Nai,1,88.0,,291.0,113.9596914505,22.4377180741,7,0.0,白泥,PakNai,香港
59,59,香港湿地公园Hong Kong Wetland Park,2,88.0,观赏多种湿地景观及动植物，寓教于乐，亲子休闲好去处。,51.0,114.018541,22.472573,201,0.0,香港湿地公园,HongKongWetlandPark,香港
60,60,PMQ元创方PMQ,3,90.0,港式创意小店大本营，100多位设计师云集，真文青必到朝圣之地。,52.0,114.163128,22.286714,41,0.0,元创方,PMQPMQ,香港
61,61,花园街Fa Yuen Street,10,82.0,知名波鞋街，各种限量版球鞋都能找到，且价格实惠。,46.0,114.183074,22.320846,397,0.17,花园街,FaYuenStreet,香港
62,62,圣约翰座堂St. John's Cathedral,6,86.0,中环闹市中的清静一隅，哥特式教堂、圣经彩绘玻璃，静谧安宁。,85.0,114.1712533874,22.2817740953,140,0.05,圣约翰座堂,StJohnsCathedral,香港
63,63,香港科学馆Hong Kong Science Museum,5,92.0,展品涉猎丰富，70%可亲身体验，寓教于乐，亲子游热门景点。,16.0,114.189089,22.303922,509,0.04,香港科学馆,HongKongScienceMuseum,香港
64,64,香港太空馆Hong Kong Space Museum,10,88.0,全圆顶银幕影片体验太空漫步，亲手模拟火箭发射，亲子游必去。,25.0,114.183411,22.297203,436,0.03,香港太空馆,HongKongSpaceMuseum,香港
