sid,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,图片url,price
702129,千岛湖景区Thousand Island Lake,18,88.0,乘船徜徉清澈辽阔的水面，登梅峰岛俯瞰千岛湖全景，风光无限。,3.0,119.060105,29.552987,6488,0.08,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/c36847be1fc7981695fe4564a6fa7f14.jpg_r_480x360x95_fbe569f2.jpg,¥55
706138,杭州宋城Hangzhou Songcheng Park,77,92.0,看《宋城千古情》演出，逛仿古街市，体验宋朝市井风情。,2.0,120.105381,30.175794,6213,0.11,https://img1.qunarzz.com/travel/d1/1705/73/356dec6455f003b5.jpg_r_480x360x95_308b381d.jpg,¥0.5
708952,西湖West Lake,683,94.0,杭州最美风光带，漫步苏堤、白堤，或坐手划船游湖。,1.0,120.12792,30.228932,27154,0.6,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/fcd3912ee11cdef30da450977f644b7e.jpg_r_480x360x95_48965299.jpg,¥30
710142,灵隐寺Lingyin Temple,260,92.0,杭州最早的名刹，活佛济公的出家地，可礼佛祈愿，观赏历代文物。,4.0,120.107833,30.246914,6470,0.43,https://img1.qunarzz.com/travel/d1/1512/eb/a987c4139e1a30f7.jpg_r_480x360x95_4dc9049e.jpg,¥0.1
709472,垂云通天河Chuiyun Tongtian River,15,90.0,乘小木船在地下暗河漂流，看千奇百怪的钟乳石景观。,9.0,119.539381,29.931531,2939,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/0bef9dab8f91637ac9877d64b99fa923.jpg_r_480x360x95_6eceea06.jpg,¥108
720346,九溪烟树Nine Creeks in the Misty Forest,98,90.0,俗称“九溪十八涧”，也是狮峰龙井茶的主产区。,23.0,120.1196819235,30.2090717667,1012,0.05,https://img1.qunarzz.com/travel/d1/1505/4b/733d436285f6a3.jpg_r_480x360x95_a00ceb6e.jpg,¥128
705578,西溪国家湿地公园Xixi National Wetland Park,166,90.0,“杭州之肾”，坐船漫游芦苇荡、寻迹《非诚勿扰》取景处。,9.0,120.071528,30.27289,7860,0.23,https://img1.qunarzz.com/travel/d2/1706/90/b9a6fcc6fe89dbb5.jpg_r_480x360x95_c26b829f.jpg,¥160
9646284,江和美海洋公园Jianghemei Ocean Park,0,82.0,,124.0,120.2342613836,30.2746905973,37,0.0,https://img1.qunarzz.com/piao/fusion/1810/25/05812a77cf60d002.jpg_r_480x360x95_dc9159c2.jpg,¥150
7468800,天子地Tianzidi,11,88.0,,51.0,119.375986,29.78919,137,0.0,https://img1.qunarzz.com/travel/poi/1408/26/8e0877c37f023483ffffffffc8d65eac.jpg_r_480x360x95_90b36e5a.jpg,¥89.9
720741,云栖竹径Yunqi Bamboo Trail,33,92.0,清幽的大竹海，电影《卧虎藏龙》的取景地，避暑消夏的好去处。,21.0,120.0973546486,30.1978025833,563,0.03,https://img1.qunarzz.com/travel/d2/1610/f4/09f09bd3e87bc2b5.jpg_r_480x360x95_9b040924.jpg,¥7
702046,杭州野生动物世界Hangzhou Safari Park,1,92.0,带小朋友来看放养的各种动物，去看一场精彩的马戏表演。,1.0,119.991307,30.16025,1290,0.0,https://img1.qunarzz.com/travel/d6/1511/ca/26215ff4c72efdf7.jpg_r_480x360x95_603d5452.jpg,¥210
703065,富春江Fuchun River,11,100.0,素称“春江第一城”，以“奇山碧水”的旖旎风光和人文荟萃的名胜古迹闻名于世的建德，自古就有“锦峰绣岭、山水之乡”之誉，是理想的避暑胜地。,28.0,119.659816,29.760222,19,0.0,https://img1.qunarzz.com/travel/d3/1706/d2/223417be420e6db5.jpg_r_480x360x95_14f954cb.jpg,¥579
711621,京杭大运河杭州景区The Grand Canal Hangzhou,40,90.0,被列入《世界遗产名录》的古运河，可乘坐水上巴士赏两岸风光。,19.0,120.145115,30.322374,615,0.03,https://img1.qunarzz.com/travel/d7/1504/52/27ab1120c0df9.jpg_r_480x360x95_ed8bda41.jpg,¥110
7468778,塘栖古镇Tangqi Ancient Town,4,90.0,京杭运河杭州段的开端，尝尝传统糕点，5月的枇杷也十分美味。,4.0,120.1884363619,30.48203422,440,0.0,https://img1.qunarzz.com/travel/d2/1804/f4/6b7cbce0d59fddb5.jpg_r_480x360x95_5029c2a9.jpg,¥139
7588140,钱塘江Qiantang River,5,90.0,观钱塘大潮，漫步钱塘江大桥，入夜赏两岸灯火辉煌。,165.0,120.1390020259,30.1947938771,510,0.0,https://img1.qunarzz.com/travel/poi/1412/73/7330d24145dfbeccdb.jpg_r_480x360x95_45000c77.jpg,¥888
714946,大奇山国家森林公园Daqishan National Forest Park,15,90.0,景色秀气的小山，拥有清新的瀑布溪流，适合休闲游览。,3.0,119.73794,29.761747,913,0.0,https://img1.qunarzz.com/travel/d3/1606/97/29af89cbf80389a.jpg_r_480x360x95_d616fd9f.jpg,¥59.9
714820,清河坊街Qinghefang Street,187,88.0,逛人气古朴商业街，尝尝当地小吃，去胡庆余堂等老字号淘手信。,6.0,120.1757775314,30.245628586,1350,0.37,https://img1.qunarzz.com/travel/d6/1709/30/56d39182821f00b5.jpg_r_480x360x95_7b295128.jpg,¥658
7647291,彩虹谷Rainbow Valley,1,84.0,,49.0,119.7341393537,30.4074522639,40,0.0,https://img1.qunarzz.com/p/tts7/1806/eb/b1cea15c67fa5e02.jpg_r_480x360x95_75a5b293.jpg,¥44.5
708604,雷峰塔Leifeng Tower,245,90.0,回味白娘子传说，在塔顶俯瞰西湖和净慈寺，看绝美西湖夜景。,8.0,120.155363,30.236901,4608,0.37,https://img1.qunarzz.com/travel/d2/1503/f6/fc53c7649357f9.jpg_r_480x360x95_c1383d07.jpg,¥40
708174,严子陵钓台Yan Ziling Fishing Platform,16,84.0,乘游船游览富春江，登上钓台俯瞰富春江如画的山水景色。,8.0,119.665807,29.703618,364,0.0,https://img1.qunarzz.com/travel/d9/1507/90/573944d0e3c37b.jpg_r_480x360x95_1a51abeb.jpg,¥111.9
26586554,良渚古城遗址公园Liangzhugucheng Ruins Park,7,88.0,,,119.993671,30.386514,56,0.0,https://img1.qunarzz.com/piao/fusion/2105/3d/db6cfdc8162bdd02.jpg_r_480x360x95_9e582d9d.jpg,¥20
718887,梅峰揽胜,3,92.0,梅峰揽胜，位于千岛湖中心湖区西端的状元半岛上，以群岛星罗棋布、港湾纵横交错、生态环境绝佳而被确定为千岛湖的一级景点。,255.0,118.927673,29.5962,116,0.01,https://img1.qunarzz.com/piao/fusion/2110/b5/cf9cc8b8716af502.jpg_r_480x360x95_d447730f.jpg,¥55
708654,湘湖Xiang Lake,11,92.0,西湖的“姐妹湖”，人少景美，适合喜欢安静的游客。,74.0,120.221555,30.136275,698,0.0,https://img1.qunarzz.com/travel/d7/1502/68/1af95e3ef988cb.jpg_r_480x360x95_9d02991d.jpg,¥53.4
9589233,小河直街历史文化街区Xiaohe Zhijie Historical and Cultural District,6,92.0,,628.0,120.142542,30.313767,147,0.0,https://img1.qunarzz.com/travel/poi/1703/55/8746779e617d4137.jpg_r_480x360x95_d79004ed.jpg,¥99
