sid,uid,score
7469087,318522346,5
7469087,193428380,4
7469087,181572820,5
7469087,173915698,5
7469087,186828813,4
7469087,173915698,5
7469087,135701742,5
7469087,239126470,4
7469087,283817219,5
7469087,274710618,5
714049,199915941,5
714049,138368544,5
714049,174854441,5
714049,189570017,4
714049,126880782,4
714049,162950971,5
714049,145113540,0
714049,2676692,0
714049,8584078,0
714049,227197998,0
713180,275695403,4
713180,189570017,5
713180,138368544,5
713180,1582114,0
713180,159386142,0
713180,2798462,0
713180,602117,0
713180,232929376,4
713180,181282138,0
713180,2424166,0
703478,142373835,5
703478,2770084,4
703478,151094125,5
703478,156485277,4
703478,275635421,5
703478,147705884,5
703478,146402635,5
703478,182612141,5
703478,128381122,4
703478,126335868,5
711995,154361540,5
711995,147022805,4
711995,238590109,0
711995,327722294,5
711995,213476908,0
711995,232134862,0
711995,126291350,0
711995,382985034,0
711995,278173493,0
711995,247674744,0
710431,1796208,5
710431,127666444,5
710431,1077169,5
710431,9980018,5
710431,5867276,5
710431,183229139,5
710431,176338175,5
710431,156485277,4
710431,128381122,4
710431,134977030,5
715478,233910093,5
715478,181572820,5
715478,174827223,5
715478,173869225,0
715478,1077169,5
715478,1339442,5
715478,120718792,4
715478,137615750,5
715478,131438412,0
715478,1158083,0
710501,200950834,5
710501,233910093,5
710501,120718792,5
710501,172029629,5
710501,174827223,5
710501,126563072,3
710501,138368544,5
710501,128117042,5
710501,189570017,3
710501,180509939,5
712812,174854441,4
712812,172184254,3
712812,193388091,0
712812,202954828,0
712812,268848470,0
712812,124632476,0
712812,204785215,0
712812,148347860,0
712812,216002978,0
712812,124632476,0
722949,156349036,5
722949,174827223,5
722949,179861796,5
722949,181623693,5
722949,147915255,5
722949,174854441,4
722949,141677698,4
722949,10063216,3
722949,233910093,4
722949,156485277,4
708913,275695403,4
708913,174854441,4
708913,189570017,4
708913,172184254,4
708913,159436636,0
708913,275061100,0
708913,1524105,0
708913,163647873,0
708913,279312798,5
708913,432227126,0
708106,174854441,4
708106,187679707,5
708106,143967037,4
708106,172184254,5
708106,168401486,0
708106,229538620,0
