sid,uid,score
3579880,332197010,5
3579880,332197010,5
3579880,332197010,5
3579880,332197010,5
3579880,332197010,5
3579880,332197010,5
3579880,332197010,5
3579880,332197010,5
3579880,332197010,5
3579880,332197010,5
5475476,156349036,5
5475476,156349036,5
5475476,156349036,5
5475476,156349036,5
5475476,156349036,5
5475476,156349036,5
5475476,156349036,5
5475476,156349036,5
5475476,156349036,5
5475476,156349036,5
5851545,179887285,5
5851545,179887285,5
5851545,179887285,5
5851545,179887285,5
5851545,179887285,5
5851545,179887285,5
5851545,179887285,5
5851545,179887285,5
5851545,179887285,5
5851545,179887285,5
710971,3567186,5
710971,3567186,5
710971,3567186,5
710971,3567186,5
710971,3567186,5
710971,3567186,5
710971,3567186,5
710971,3567186,5
710971,3567186,5
710971,3567186,5
702916,174942165,0
702916,174942165,0
702916,174942165,0
702916,174942165,0
702916,174942165,0
702916,174942165,0
702916,174942165,0
702916,174942165,0
702916,174942165,0
702916,174942165,0
708112,218414992,5
708112,218414992,5
708112,218414992,5
708112,218414992,5
708112,218414992,5
708112,218414992,5
708112,218414992,5
708112,218414992,5
708112,218414992,5
708112,218414992,5
7560095,266202375,4
7560095,266202375,4
7560095,266202375,4
7560095,266202375,4
7560095,266202375,4
7560095,266202375,4
7560095,266202375,4
7560095,266202375,4
7560095,266202375,4
7560095,266202375,4
712526,194022567,0
712526,194022567,0
712526,194022567,0
712526,194022567,0
712526,194022567,0
712526,194022567,0
712526,194022567,0
712526,194022567,0
712526,194022567,0
712526,194022567,0
706045,160530562,5
706045,160530562,5
706045,160530562,5
706045,160530562,5
706045,160530562,5
706045,160530562,5
706045,160530562,5
706045,160530562,5
706045,160530562,5
706045,160530562,5
714847,205627991,0
714847,205627991,0
714847,205627991,0
714847,205627991,0
714847,205627991,0
714847,205627991,0
714847,205627991,0
714847,205627991,0
714847,205627991,0
714847,205627991,0
7481979,389230701,0
7481979,389230701,0
7481979,389230701,0
7481979,389230701,0
7481979,389230701,0
7481979,389230701,0
7481979,389230701,0
7481979,389230701,0
7481979,389230701,0
7481979,389230701,0
710600,133218852,0
710600,133218852,0
710600,133218852,0
710600,133218852,0
710600,133218852,0
710600,133218852,0
710600,133218852,0
710600,133218852,0
710600,133218852,0
710600,133218852,0
714584,147513481,5
714584,147513481,5
714584,147513481,5
714584,147513481,5
714584,147513481,5
714584,147513481,5
714584,147513481,5
714584,147513481,5
714584,147513481,5
714584,147513481,5
9535250,266202375,4
9535250,266202375,4
9535250,266202375,4
9535250,266202375,4
9535250,266202375,4
9535250,266202375,4
9535250,266202375,4
9535250,266202375,4
9535250,266202375,4
9535250,266202375,4
8454966,127251554,4
8454966,127251554,4
8454966,127251554,4
8454966,127251554,4
8454966,127251554,4
8454966,127251554,4
8454966,127251554,4
8454966,127251554,4
8454966,127251554,4
8454966,127251554,4
5475488,240840228,0
5475488,240840228,0
5475488,240840228,0
5475488,240840228,0
5475488,240840228,0
5475488,240840228,0
5475488,240840228,0
