sid,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,图片url
7564992,上海迪士尼度假区Shanghai Disney Resort,73,94.0,中国大陆首座迪士尼度假区，身临其境地感受神奇王国。,1.0,121.671964,31.148267,33375,0.03,https://img1.qunarzz.com/travel/d2/1712/be/6742be0b91cad2b5.jpg_r_480x360x95_e84ae9ca.jpg
716538,上海海洋水族馆Shanghai Ocean Aquarium,17,92.0,观赏各种海洋生物，漫步海底隧道，感受五彩缤纷的海底世界。,1.0,121.508642,31.246459,5244,0.03,https://img1.qunarzz.com/travel/poi/1505/12/779dbf4a16e528.jpg_r_480x360x95_fe73fa68.jpg
20030793,上海海昌海洋公园Shanghai Haichang Ocean Park,0,92.0,,,121.910782,30.920947,1944,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/eb9b01011627e755d166917c2b22ee1a.jpg_r_480x360x95_efa372ac.jpg
710448,长兴岛Changxing Island,1,84.0,,151.0,121.740589,31.385953,134,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/f56ee7a860e97e38d4a15e29b37d32f0.jpg_r_480x360x95_8bf8b485.jpg
5740224,武康路Wukang Road,30,94.0,14处优秀历史建筑，电影《色戒》中王佳芝与易先生最后幽会的地点。,55.0,121.4463595607,31.213621164,439,0.01,https://img1.qunarzz.com/travel/d4/1706/c7/691e26b6dc4a9fb5.jpg_r_480x360x95_62b2febb.jpg
716344,朱家角古镇景区Zhujiajiao Ancient Town Scenic Area,9,88.0,上海周边游览古镇的首选之地，在青砖白墙间感受水乡的静谧。,1.0,121.0603616306,31.1159338962,2447,0.02,https://img1.qunarzz.com/travel/d2/1807/cd/910b1ea6e4f0f9b5.jpg_r_480x360x95_80f9a148.jpg
712404,外滩The Bund,466,96.0,身倚浦西漫步十里洋场，隔江对望浦东繁华陆家嘴。,2.0,121.4987359133,31.2391219237,49000,0.52,https://img1.qunarzz.com/travel/d2/1803/dd/6b7cf911dc59bab5.jpg_r_480x360x95_5ee6e448.jpg
703850,太阳岛旅游度假区Sun Island,1,88.0,,11.0,121.079387,31.043011,136,0.0,https://img1.qunarzz.com/travel/d1/1707/f9/7bd73f96a12266b5.jpg_r_480x360x95_a300673c.jpg
33486326,蔡浜村Caibang Village,0,80.0,,,120.953336,31.122277,0,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/607dd4efcce0d5e5c7c0e666ce6f1761.jpg_r_480x360x95_04158905.jpg
708751,横沙岛Hengsha Island,1,92.0,,647.0,121.860605,31.342956,80,0.0,https://img1.qunarzz.com/travel/d8/1507/33/e4cbdd0d0f2fe9.jpg_r_480x360x95_da3e0418.jpg
10012279,广富林文化遗址Guangfulin Relics Park,2,92.0,,32.0,121.2037403917,31.0689421665,522,0.0,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/d64b42beabe6653381e67209474fbb3f.jpg_r_480x360x95_fceb3fa8.jpg
709275,东方明珠Oriental Pearl Radio & Television Tower,222,92.0,在259米高的全透明观光廊上，360度欣赏申城夜景。,1.0,121.5064146572,31.2453018761,47360,0.29,https://img1.qunarzz.com/travel/d6/201404/14/a26378c6f178737addb12cfb.jpg_r_480x360x95_4635a210.jpg
722972,田子坊Tianzifang,216,88.0,穿梭在上海小弄堂里，逛逛复古小店和文人工作室。,3.0,121.474974,31.214113,3414,0.29,https://img1.qunarzz.com/travel/d7/1707/b5/e1a43331761a0b5.jpg_r_480x360x95_6c784a95.jpg
7469007,上海海湾国家森林公园Shanghai Haiwan National Forest Park,2,88.0,烧烤、骑马、骑单车，赏梅赏荷观鸟好去处。,249.0,121.6970688369,30.867699394,1128,0.0,https://img1.qunarzz.com/travel/poi/1507/be/78528e5d201e92.jpg_r_480x360x95_bf42a7ef.jpg
708030,上海城隍庙道观City God Temple of Shanghai,217,92.0,位于市中心的著名道观，是历史悠久的祈福胜地。,4.0,121.499034,31.231472,2101,0.37,https://tr-osdcp.qunarzz.com/tr-osd-tr-touch/img/f57ced84882555124be8ea65a6033b98.jpeg_r_480x360x95_362d7ec3.jpeg
716525,上海野生动物园Shanghai Wild Animal Park,7,94.0,与世界各地的动物亲密接触，体验亲手投食给羊驼的乐趣。,9.0,121.727995,31.06138,23138,0.0,https://img1.qunarzz.com/travel/d0/1501/8b/06304e231ac1c4.jpg_r_480x360x95_fa6ef4d6.jpg
703906,静安寺Jing'an Temple,26,90.0,东部地区少见的融入藏式建筑风格的寺庙，闹市中的有名古刹。,38.0,121.451595,31.229947,889,0.05,https://img1.qunarzz.com/travel/d4/201405/02/a15f8e561862ed7dddb12cfb.jpg_r_480x360x95_44ed61f5.jpg
705355,金山城市沙滩Jinshan City Beach,2,86.0,上海市内为数不多的海滨沙滩之一，玩沙子、海里游泳，尽情在海边撒欢。,73.0,121.355903,30.714121,590,0.0,https://img1.qunarzz.com/travel/d6/1503/df/63c479abfb49af.jpg_r_480x360x95_6452200e.jpg
5475551,泰晤士小镇Thames Town,5,90.0,教堂、城堡、桥廊，充斥着英伦风情，婚纱写真取景胜地。,1.0,121.204571,31.040178,989,0.01,https://img1.qunarzz.com/travel/d7/1709/ec/adf4efc1508803b5.jpg_r_480x360x95_bc449451.jpg
716265,上海博物馆Shanghai Museum,50,92.0,观赏西周大克鼎、唐朝《高逸图》，还有众多青铜陶瓷和书画。,14.0,121.482358,31.234149,2402,0.11,https://img1.qunarzz.com/travel/poi/1409/22/a438e22e3f0d0e68ffffffffc8d65eac.jpg_r_480x360x95_0cd26a1f.jpg
32345830,中新泾公园Zhongxinjing Park,0,88.0,,,121.372442,31.208113,25,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/41e66cacbaad7f4e6b53246033d4c1a3.jpg_r_480x360x95_98d9ab8d.jpg
705830,上海共青森林公园Gongqing National Forest Park,4,92.0,离市区最近的森林公园，踏青秋游、烧烤野营、骑马射箭好去处。,244.0,121.557183,31.325266,972,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/70369457a9ab5e0f902ea1897b2e9edd.jpeg_r_480x360x95_5efae3aa.jpeg
3710932,1933老场坊1933 Old Millfun,47,90.0,由宰牲场改造的创意园区，时尚餐厅、奢牌秀场汇聚于此。,17.0,121.49833,31.260148,848,0.04,https://img1.qunarzz.com/travel/d5/1507/ea/da0c1467d222d6.jpg_r_480x360x95_69796842.jpg
35198621,上海天文馆Shanghai Planetarium,0,84.0,,,121.932414,30.918563,2,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif
711011,豫园Yu Garden,183,94.0,市区留存完好的江南古典园林，亭台楼阁雕梁画栋。,7.0,121.49909,31.232431,10378,0.33,https://img1.qunarzz.com/travel/d7/1501/1a/8b78689f24bdeb.jpg_r_480x360x95_657c5a8f.jpg
702215,上海科技馆Shanghai Science and Technology Museum,31,94.0,上海最大的科普教育殿堂，体验各种模拟项目，感受科幻场景。,6.0,121.547781,31.224611,6813,0.04,https://img1.qunarzz.com/travel/d9/1509/10/9c8d705b83b50f.jpg_r_480x360x95_57322115.jpg
710832,上海环球金融中心Shanghai World Financial Center,48,94.0,登474米高的透明观光厅，平视东方明珠的尖顶、俯瞰全上海。,8.0,121.51346,31.239657,5334,0.12,https://img1.qunarzz.com/travel/d4/1803/49/cac8412a8ea6aeb5.jpg_r_480x360x95_fc1df7c0.jpg
702212,上海自然博物馆Shanghai Natural History Museum,14,96.0,展品十分丰富，“黄河古象”“马门溪龙”是镇馆之宝。,12.0,121.469143,31.241221,2153,0.01,https://img1.qunarzz.com/travel/d8/1703/4f/dd1d1db3b834f8b5.jpg_r_480x360x95_f84969dd.jpg
7475055,金山嘴渔村Jinshanzui Fishing Village,1,86.0,,2742.0,121.382644,30.738368,210,0.0,https://img1.qunarzz.com/p/tts6/1807/96/2698928401d45c02.jpg_r_480x360x95_6bb6e496.jpg
18700129,南京路步行街Nanjing Road Pedestrian Street,0,94.0,现代建筑夹杂着欧式老楼，竖挂的店铺灯箱连绵不绝。,,121.4907,31.243231,12223,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/9ef791a30bb31ecd37d9632ca288392e.jpg_r_480x360x95_27bd6bde.jpg
705785,枫泾古镇Fengjing Ancient Town,9,86.0,被誉为“吴越名镇”，游览水乡风貌，欣赏乡村农民画作。,42.0,121.022096,30.893168,821,0.0,https://img1.qunarzz.com/travel/d2/1608/57/69b2742e514f6cb5.jpg_r_480x360x95_8466c8a1.jpg
10071115,上海之巅观光厅Top of Shanghai Observatory,1,94.0,上海最高的观光厅，360度全视角欣赏上海魅力全景，实乃上海之巅。,70.0,121.512114,31.239112,1228,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/24430bb3e819e3f9c0849d92cddd7b35.jpg_r_480x360x95_e5d801ad.jpg
715570,东平国家森林公园Dongping National Forest Park,2,90.0,去环园骑行、滑草、露营，在森林中自助烧烤也很有野趣。,2.0,121.486723,31.689489,1513,0.0,https://img1.qunarzz.com/travel/d4/1505/4f/5749590812ff50.jpg_r_480x360x95_95bf12eb.jpg
