,中文名,景点排名,攻略数量,评论数量,旅游率,景区介绍,评分,地址,开放时间,门票,价格
0,鼓浪屿,1,495,30724,68%,世界文化遗产，特色店铺众多，建筑漂亮，生活气息和文艺范儿并重。,4.4,厦门市思明区鼓浪屿,全天开放；游客登岛时间跟随游船发船时间。,登岛需购买轮渡或游船票；内部景点单独收费。,90.0
1,中山路步行街,3,632,3390,53%,厦门地标式商业街，欣赏连排的骑楼式建筑，搜罗地道的闽南小吃，感受鹭岛的独特魅力。,4.5,厦门市思明区中山路56号,全天开放,免费,67.0
2,曾厝垵,1,1071,5815,51%,厦门文创新地标，美食与文化的激情碰撞，去寻找文艺外表下充满生命力的古朴村落。,4.4,厦门市思明区环岛南路,全天开放,免费,136.0
3,白城沙滩,10,369,864,28%,靠近厦大的免费沙滩，漫步、海边玩耍，这是天然的休闲公园。,4.6,厦门市思明区大学路,全天开放,免费,22.2
4,厦门大学,2,1189,12520,79%,依山傍海，中西结合的独特建筑风格，被誉为中国最美的大学之一。,4.6,厦门市思明区思明南路422号,疫情防控期间暂停校园参观，详情可电话咨询。,参观人员从大南校门、群贤校门进校，游客进入厦门大学需提前至“厦门大学访客预约系统”微信号进行预约。,
5,环岛路,6,637,5453,44%,享受海边骑行的快乐，边骑边看美丽风景。,4.7,厦门市思明区环岛路,全天开放,免费,136.0
7,厦门园林植物园,12,137,1910,10%,环境很好的植物园，有多种稀有植物景观，也适合周末爬山休闲。,4.6,福建省厦门市思明区虎园路25号,6:30-18:00；内部景点开放时间不一致，详情见景区公示。,厦门园林植物园已于2022年9月5日恢复门票收费。,30.0
8,沙坡尾避风坞,7,115,290,2%,,4.4,厦门市思明区沙坡尾,全年 全天开放,免费,299.0
9,椰风寨,18,91,274,3%,很长的免费沙滩，游客不多，可以远眺金门岛。,4.4,厦门市思明区环岛路,周一到周五 10:00-17:30，周六-周日9:30-18:30,免费,48.9
10,厦门双子塔,8,15,103,0%,厦门新地标，登上55层观光厅，眺望鼓浪屿，俯瞰鹭岛风情。,4.3,厦门市思明区演武西路180-188号(厦大医院旁),全天开放，内部景点开放时间详见景区公示。,门票120元,158.0
11,钟鼓索道,42,32,540,4%,在高空中俯瞰厦门全景，在天然氧吧中任性遨游。,4.6,厦门市思明区虎园路31号,8:30-17:30,单程及往返票价都是70元,69.0
12,集美大学,32,27,154,0%,,4.8,厦门市集美区银江路185号,全天开放，疫情期间校外人员谢绝入校,免费,
13,日光岩,3,184,3950,55%,鼓浪屿的最佳观景点，从上而下俯视鼓浪屿全岛及厦门市区景象。,4.6,厦门市思明区鼓浪屿,10/1-5/31(冬令时) 08:00-17:30,60元,50.0
14,集美学村,16,129,933,16%,风格中西合璧的大学城，可以在校园里感受浓重的学术氛围。,4.7,厦门市集美区银江路183号,全天开放,免费,286.0
15,南华路文化吧一条街,28,11,70,0%,,4.4,厦门市思明区,全年 全天开放,具体收费情况以现场公示为主,
16,港仔后海滨浴场,46,7,214,1%,,4.3,厦门市思明区鼓浪屿港仔后路7号，位于菽庄花园西面。,全天开放,免费,159.0
17,海湾公园,36,37,303,2%,可在公园内远眺大海，吹海风，附近的酒吧街更是泡吧族们的最爱。,4.7,厦门市思明区湖滨西路109号,全年 全天开放,具体收费情况以现场公示为主,139.0
18,沙坡尾艺术西区,3,32,91,0%,,4.4,沙坡尾60号(近中华儿女美术馆),全年 全天开放,0元,299.0
19,厦门海底世界,2,22,1004,18%,有迄今为止中国发现最大的抹香鲸骨架。,4.1,厦门市思明区鼓浪屿龙头路2号,04/01-10/31 08:00-21:00;11/01-03/31 08:00-18:30,90元,107.0
20,天竺山森林公园,137,2,126,0%,来“厦门后花园”亲近自然，感受绿意盎然的山林风光，欣赏澄澈镜面的湖水倒影。,4.4,厦门市海沧区东孚镇洪塘村西塘社,6月-10月8:00-17:30，11月-次年5月8:30-17:00,70元,19.9
21,菽庄花园,7,137,2261,48%,看闽南风格融合西洋色彩的园林景观。这里也有很好的观海点。,4.6,厦门市思明区鼓浪屿港仔后路7号,6/1-9/30 08:00-18:00;10/1-5/31 08:00-17:30,30元,30.0
22,珍珠湾,86,57,233,0%,沙细水清，还有轻风拂面，来到海边千万不要错过这个沙滩浴场。,4.7,厦门市思明区曾厝垵路102～262,全年 全天开放,具体收费情况以现场公示为主,
23,猫咪博物馆,13,97,170,0%,,4.2,厦门市思明区思明南路400号-105,全年 11:30-20:00,免费,
24,黄厝沙滩,39,27,53,0%,,4.6,厦门市思明区黄厝路70号,全年 全天开放,具体收费情况以现场公示为主,
25,厦门科技馆,14,36,758,0%,可以带孩子来这里感受新科技带来的乐趣，开拓孩子们的视野。,4.6,厦门市思明区体育路95号厦门文化艺术中心,7/23-12/31 周二-周日 09:00-17:00,门票：80元,110.0
26,大德记浴场,3,5,26,0%,,4.3,厦门市思明区鼓浪屿皓月园旁边,全天开放,乘船上岛后步行或租车前往。,
28,云顶山,127,2,10,0%,,4.6,厦门市同安区汀溪镇境内，与安溪县、南安县交接。,全年 全天开放,具体收费情况以现场公示为主,
29,蔡尖尾山公园,204,0,8,0%,,4.5,海沧街道马青路附近,全年 全天开放,具体收费情况以现场公示为主,
30,风琴博物馆,14,57,724,14%,在音乐之岛鼓浪屿逛风琴博物馆，看各种复古的风琴。,4.5,厦门市思明区鼓浪屿复兴路69号,10/1-5/31(冬令时) 08:15-17:45,20元,15.0
