,中文名,景点排名,攻略数量,评论数量,评分,价格
0,平潭岛,2,19.0,747.0,4.5,21.0
3,飞云峡,327,0.0,22.0,3.7,9.9
6,福州国家森林公园,6,6.0,643.0,4.6,1.6
8,海坛古城,38,10.0,565.0,4.2,35.0
17,石竹山风景区,2,1.0,262.0,4.5,6.0
19,于山,22,6.0,638.0,4.5,6.0
23,云顶天池,21,1.0,15.0,4.4,178.0
25,西禅寺,15,4.0,247.0,4.6,0.8
26,永泰天门山生态旅游风景区,4,1.0,165.0,4.2,98.0
28,猴研岛,8,6.0,28.0,4.5,30.0
31,福州云顶,5,1.0,989.0,4.5,157.0
35,皇帝洞生态旅游景区,328,1.0,37.0,4.3,30.0
39,九峰村,19,3.0,96.0,4.3,198.0
47,林则徐纪念馆,3,2.0,107.0,4.5,32.0
52,仓山旧领事馆区遗址,319,7.0,77.0,4.3,21.0
62,永泰大樟溪,7,3.0,31.0,4.5,18.9
63,白云洞,2,0.0,23.0,4.1,36.0
64,将军山,19,1.0,23.0,4.1,0.9
83,沙滩公园,18,1.0,81.0,4.5,36.0
91,福建博物院,4,1.0,119.0,4.2,90.0
92,鼓山涌泉寺,4,1.0,25.0,4.3,47.0
110,北茭村,39,1.0,23.0,4.5,190.0
126,军博园,5,1.0,88.0,4.2,2.5
160,永泰大樟溪蹦极,103,0.0,2.0,3.4,6.0
171,黄歧半岛,70,0.0,4.0,4.4,70.0
174,长乐南山公园,11,2.0,29.0,4.4,30.0
175,琅岐岛,19,0.0,19.0,3.9,32.0
180,闽清白岩山,4,0.0,17.0,4.1,388.0
184,坛南湾鹅头湾度假村,24,0.0,32.0,4.5,32.0
188,连江赶海一号亲子滩涂主题乐园,16,4.0,164.0,4.4,90.0
350,鼓浪屿,1,495.0,30724.0,4.4,90.0
351,中山路步行街,3,632.0,3390.0,4.5,67.0
352,曾厝垵,1,1071.0,5815.0,4.4,136.0
353,白城沙滩,10,369.0,864.0,4.6,22.2
355,环岛路,6,637.0,5453.0,4.7,136.0
357,厦门园林植物园,12,137.0,1910.0,4.6,30.0
358,沙坡尾避风坞,7,115.0,290.0,4.4,299.0
359,椰风寨,18,91.0,274.0,4.4,48.9
360,厦门双子塔,8,15.0,103.0,4.3,158.0
361,钟鼓索道,42,32.0,540.0,4.6,69.0
363,日光岩,3,184.0,3950.0,4.6,50.0
364,集美学村,16,129.0,933.0,4.7,286.0
366,港仔后海滨浴场,46,7.0,214.0,4.3,159.0
367,海湾公园,36,37.0,303.0,4.7,139.0
368,沙坡尾艺术西区,3,32.0,91.0,4.4,299.0
369,厦门海底世界,2,22.0,1004.0,4.1,107.0
370,天竺山森林公园,137,2.0,126.0,4.4,19.9
371,菽庄花园,7,137.0,2261.0,4.6,30.0
375,厦门科技馆,14,36.0,758.0,4.6,110.0
380,风琴博物馆,14,57.0,724.0,4.5,15.0
382,白鹭洲公园,34,56.0,501.0,4.6,2238.0
383,皓月园,18,83.0,1094.0,4.5,10.0
384,北辰山,220,1.0,94.0,4.4,25.0
387,厦门园林博览苑,41,11.0,388.0,4.5,799.0
388,胡里山炮台,11,245.0,2622.0,4.6,22.2
390,彩虹沙滩,128,3.0,9.0,4.8,2288.0
398,顶上生态风景区,6,9.0,424.0,4.4,77.0
403,松柏公园,33,4.0,220.0,4.2,95.5
408,观海园,82,20.0,422.0,4.6,0.69
410,厦门市博物馆,74,2.0,502.0,4.8,110.0
413,梵天寺,96,2.0,107.0,4.3,25.0
414,金光湖,232,0.0,36.0,3.6,27.0
428,福州大学厦门工艺美院鼓浪屿校区,22,4.0,231.0,4.2,158.0
430,云上厦门观光厅,4,4.0,69.0,4.5,65.0
433,大帽山三角梅园,31,46.0,301.0,4.7,54.0
434,大同路,176,40.0,116.0,4.6,299.0
435,五缘湾湿地公园,17,2.0,90.0,4.5,50.0
436,演武大桥,10,15.0,442.0,4.7,77.0
437,海上明珠观光塔,5,63.0,827.0,4.6,129.0
439,钢琴博物馆,50,10.0,258.0,4.6,168.0
444,万石岩,22,192.0,127.0,4.6,179.0
446,鼓浪屿龙头路,59,5.0,56.0,4.3,44.8
473,杏东公园,13,1.0,91.0,4.3,87.0
476,番婆楼,566,1.0,45.0,4.7,5.0
478,郑成功雕像,104,1.0,3.0,0.0,88.0
483,圣妈宫,27,54.0,313.0,4.7,468.0
484,台湾民俗村,30,14.0,148.0,3.3,49.0
