,Unnamed: 0,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,中文名,英文名
0,0,故宫The Palace Museum,166,96.0,世界五大宫之首，是中国明清两代的皇家宫殿。,1.0,116.403414,39.924091,31849,0.52,故宫,ThePalaceMuseum
1,1,清凉谷风景区Qingliang Valley Scenic Area,1,82.0,在茂密树木和溪流瀑布间登山漫步，夏日体验众多的水上娱乐项目。,13.0,116.760481,40.639741,197,0.0,清凉谷风景区,QingliangValleyScenicArea
2,2,古北水镇Gubei Water Town,33,92.0,京郊少见的北方水镇，建筑古韵十足，泡温泉、登长城。,1.0,117.284632,40.661046,3474,0.01,古北水镇,GubeiWaterTown
3,3,玉渡山景区Yudu Mountain Natural Scenic Area,4,92.0,北京地区一块鲜为人知的胜景，现代人回归大自然最好的选择。,8.0,115.895804,40.55826,431,0.0,玉渡山景区,YuduMountainNaturalScenicArea
4,4,北京平谷金海湖Beijing Pinghu District Jinhai Lake,9,88.0,夏季参加丰富多彩的水上项目，秋天乘船欣赏沿岸漫山遍野的红叶。,190.0,117.310896,40.187348,341,0.0,北京平谷金海湖,BeijingPinghuDistrictJinhaiLake
5,5,八达岭长城Badaling Great Wall,40,94.0,“不到长城非好汉”，这里是长城的精华部分。,1.0,116.024067,40.362639,13871,0.38,八达岭长城,BadalingGreatWall
6,6,天安门广场Tiananmen Square,70,96.0,伟大祖国的标志，早起看一场庄严肃穆的升旗仪式，瞻仰人民英雄纪念碑。,3.0,116.404091,39.910095,8284,0.5,天安门广场,TiananmenSquare
7,7,颐和园Summer Palace,115,94.0,被誉为“皇家园林博物馆”，参观园林，泛舟昆明湖。,4.0,116.278749,40.004869,15172,0.43,颐和园,SummerPalace
8,8,房山白草畔自然风景区Fangshan Baicaopan Natural Scenic Area,1,90.0,观看长满野花的高山草甸，茂盛松林，还有山间云海。,30.0,115.6209,39.790098,31,0.0,房山白草畔自然风景区,FangshanBaicaopanNaturalScenicArea
9,9,百里山水画廊Baili Landscape Gallery Scenic Spot,2,90.0,北京自驾游的首选之地，四季景色变幻，沿途风光如画。,3387.0,116.257788,40.666026,185,0.0,百里山水画廊,BailiLandscapeGalleryScenicSpot
10,10,恭王府Prince Gong's Mansion,43,92.0,曾经和珅的宅邸，也是如今保存完整的王府。,5.0,116.392599,39.943381,3350,0.28,恭王府,PrinceGongsMansion
11,11,中国国家博物馆National Museum of China,26,96.0,超大的博物馆，四羊方尊、司母戊鼎等众多国宝所在地。,7.0,116.408018,39.911449,1531,0.15,中国国家博物馆,NationalMuseumofChina
12,12,人间花海景区Renjianhuahai Sceneic Area,0,84.0,,,117.210108,40.577356,7,0.0,人间花海景区,RenjianhuahaiSceneicArea
13,13,龙庆峡Longqing Gorge,4,90.0,京郊夏季休闲避暑的胜地，每年冬季的冰灯展也非常壮观。,2.0,116.009343,40.557851,726,0.0,龙庆峡,LongqingGorge
14,14,南锣鼓巷Nanluoguxiang,107,88.0,老北京胡同与小资情调结合，文艺青年的必逛之地。,2.0,116.4095,39.943166,4081,0.4,南锣鼓巷,Nanluoguxiang
15,15,珊瑚岛大冒险探险乐园,0,60.0,,,116.2921031109,39.8182409096,0,0.0,珊瑚岛大冒险探险乐园,
