,中文名,景点排名,攻略数量,评论数量,旅游率,景区介绍,评分,地址,开放时间,门票,价格
0,平潭岛,2,19,747,4%,福建第一大岛，有三大海滨沙滩，保留着原始海岛风貌。,4.5,福建省福州市平潭县,全天开放,免费,21.0
1,三坊七巷,1,76,4626,51%,白墙灰瓦，木质房屋，感受南方细腻的手工艺，来此看一下名人故里，吃吃特色小食。,4.5,福州市鼓楼区三坊七巷,全天开放，其中商铺开放时间各不相同。,30元/人，部分景点收取门票或提供联票,
2,龙凤头海滨浴场,298,3,191,0%,全国最大的海滨浴场之一，白沙碧海，是喜欢游泳的游客不可不去的一处胜地。,4.5,福州市平潭县坛西大道龙凤头海滨公园向北250米,全年 全天开放,免费,
3,飞云峡,327,0,22,0%,,3.7,福州市寿山乡岭头村,8:00-17:00，16:00停止入场。,25元,9.9
6,福州国家森林公园,6,6,643,6%,环境清幽的森林公园，是休闲锻炼的好去处。,4.6,福州市晋安区新店镇上赤桥,全年 08:00-16:30,具体收费情况以现场公示为主,1.6
7,坛南湾,306,9,126,1%,坛南湾东临大海，滩面平缓，细沙如银，有&quot;坛南银滩&quot;之称，是福州绝美佳景。,4.4,福州市平潭县环岛东路,全天开放,免费,
8,海坛古城,38,10,565,1%,畅玩主题乐园，探秘充满海上奇闻怪事的古街，共享一场闽海风情的声光盛宴。,4.2,福州市平潭县综合实验区环岛东路与翠园南路交汇处,1/1-6/30 全天开放 ;7/1-8/31 09:30-18:00;9/1-12/31 全天开放,免费,35.0
9,鼓山,8,11,968,17%,福州知名景点，是个爬山锻炼身体的好地方，山上的千年古刹涌泉寺香火旺盛。,4.5,福州市晋安区鼓山镇鼓山风景区,全年 全天开放,具体收费情况以现场公示为主,
10,上下杭,7,5,133,0%,,4.6,福建省福州市台江区苍霞上下杭(下杭路北),全年 全天开放,具体收费情况以现场公示为主,
14,鼓岭旅游度假区,20,4,132,1%,鼓岭风景宜人，从近代至今都是福州著名的夏天避暑场所。,4.6,福州市晋安区宦溪镇鼓岭宜夏村鼓宦公路与192县道交叉口北150米,全年 08:00-21:00,具体收费情况以现场公示为主,
16,中国船政文化景区,189,0,35,0%,,4.3,福州市区马尾区港口路83号罗星塔公园内,全年 全天开放,,
17,石竹山风景区,2,1,262,0%,欣赏明媚秀丽山水，体验道教经典文化。,4.5,福清市宏路镇石竹山风景区,全年 06:30-17:30,25元,6.0
19,于山,22,6,638,11%,环境舒适宜人，白塔是福州的标志之一，还能去戚公祠瞻仰抗击倭寇的民族英雄戚继光。,4.5,福州市鼓楼区于山路,全年 全天开放,免费,6.0
20,石厝教堂,54,1,1,0%,清咸丰十年(1860年)由英国圣公会创办，原名安日间会，坐北朝南，青石砌成，占地600平方米，仿哥特式建筑。,,,,,
22,大姆山草场,12,1,20,0%,,4.0,福州市福清市近郊南岭镇东北,全年 全天开放,免费开放,
23,云顶天池,21,1,15,0%,,4.4,福建省福州市永泰县云山村,全年 8:30-17:00,190元,178.0
24,东甲岛,5,1,18,100%,,4.7,福州市平潭县海坛岛南部，距草屿约9公里。,全年 8:00-17:00,具体收费情况以现场公示为主,
25,西禅寺,15,4,247,10%,西禅寺名列福州五大禅林之一，香火很旺，寺里还有千年荔枝树。,4.6,福州市鼓楼区工业路455号,全年 7:00-18:00,具体收费情况以现场公示为主,0.8
26,永泰天门山生态旅游风景区,4,1,165,0%,,4.2,福州市永泰县葛岭镇溪洋村,9:00-18:00；节假日正常开放；信息仅供参考，具体开放时间以景区当天披露为准。,35元,98.0
