sid,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,图片url,price
715901,鼓浪屿Gulangyu Island,495,88.0,世界文化遗产，特色店铺众多，建筑漂亮，生活气息和文艺范儿并重。,1.0,118.074046,24.451669,30586,0.68,https://img1.qunarzz.com/travel/d5/1512/a4/0bef9ceaeadb39f7.jpg_r_480x360x95_44c7ab89.jpg,¥50
3579880,中山路步行街Zhongshan Road Pedestrian Street,632,88.0,厦门地标式商业街，欣赏连排的骑楼式建筑，搜罗地道的闽南小吃，感受鹭岛的独特魅力。,3.0,118.08563,24.460219,3375,0.53,https://img1.qunarzz.com/travel/d8/1708/cb/268e1e912c47e5b5.jpg_r_480x360x95_65ef0f7f.jpg,¥68
5475476,曾厝垵Zeng Cuo An Village,1071,86.0,厦门文创新地标，美食与文化的激情碰撞，去寻找文艺外表下充满生命力的古朴村落。,1.0,118.133063,24.432525,5797,0.51,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/0270bd4840f848741ea18e4448a55487.jpg_r_480x360x95_d2570547.jpg,¥60
5851545,白城沙滩Baicheng Beach,369,92.0,靠近厦大的免费沙滩，漫步、海边玩耍，这是天然的休闲公园。,10.0,118.109353,24.438169,860,0.28,https://img1.qunarzz.com/travel/d5/1806/71/c0f4895cd06854b5.jpg_r_480x360x95_3c0c1bb0.jpg,¥23
702916,环岛路Huandao Road,637,94.0,享受海边骑行的快乐，边骑边看美丽风景。,6.0,118.116178,24.43582,5422,0.44,https://img1.qunarzz.com/travel/d1/1708/53/ffa48b78c12f80b5.jpg_r_480x360x95_873a8f3f.jpg,¥60
708112,厦门园林植物园Xiamen Botanical Garden,137,92.0,环境很好的植物园，有多种稀有植物景观，也适合周末爬山休闲。,12.0,118.116097,24.454744,1902,0.1,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/bff7af96c2806c8387bebe789b3f8ab9.jpg_r_480x360x95_eef7dbc2.jpg,¥30
7560095,沙坡尾避风坞Shapowei Wind Shelter,115,86.0,,7.0,118.094593,24.443997,286,0.02,https://img1.qunarzz.com/travel/d7/1708/bd/c84a184d1631a0b5.jpg_r_480x360x95_ba3f0f05.jpg,¥299
3234233,椰风寨Yefeng Village,91,88.0,很长的免费沙滩，游客不多，可以远眺金门岛。,18.0,118.176048,24.453568,265,0.03,https://img1.qunarzz.com/travel/d5/1511/bb/fb4c79f769c86ff7.jpg_r_480x360x95_bddd3dc8.jpg,¥49.9
9554116,厦门双子塔Xiamen Twin Towers,15,86.0,厦门新地标，登上55层观光厅，眺望鼓浪屿，俯瞰鹭岛风情。,8.0,118.0951599497,24.4419278574,103,0.0,https://img1.qunarzz.com/travel/poi/1701/77/632416c107d0f337.jpg_r_480x360x95_db1a9a3b.jpg,¥148
712526,钟鼓索道Zhonggu Cableway,32,92.0,在高空中俯瞰厦门全景，在天然氧吧中任性遨游。,42.0,118.100307,24.459431,540,0.04,https://img1.qunarzz.com/travel/d3/1704/70/8d7ec930cf2f5cb5.jpg_r_480x360x95_74912510.jpg,¥9
